input,name,quantity,unit,size,preparation,comment,purpose
"Vegetable oil, for deep-frying",Vegetable oil,,,,,,for deep-frying
pound elbow macaroni,elbow macaroni,,pound,,,,
Freshly ground black pepper,black pepper,,,,Freshly ground,,
2 teaspoons Dijon mustard,Dijon mustard,2,teaspoon,,,,
cup heavy cream,heavy cream,,cup,,,,
2 cups whole milk,whole milk,2,cup,,,,
1/2 teaspoon hot red pepper flakes,hot red pepper flakes,#1$2,teaspoon,,,,
3 tablespoons flour,flour,3,tablespoon,,,,
5 cups coarsely grated extra-sharp Cheddar,extra-sharp Cheddar,5,cup,,coarsely grated,,
2 cups panko or coarse dry bread crumbs,panko or coarse dry bread crumbs,2,cup,,,,
5 tablespoons unsalted butter,unsalted butter,5,tablespoon,,,,
Salt,Salt,,,,,,
Sprigs of watercress,watercress,,Sprig,,,of,
"3/4 pound shiitake mushrooms, stemmed and quartered",shiitake mushrooms,#3$4,pound,,stemmed and quartered,,
2 tablespoons extra-virgin olive oil,extra-virgin olive oil,2,tablespoon,,,,
Kosher salt and black pepper,Kosher salt and black pepper,,,,,,
"1 2-pound beef tenderloin roast, cut from the large end, trimmed and tied at 1/2-inch intervals with kitchen twine",beef tenderloin roast,1 2,pound,,cut from the large end trimmed and tied at #1$2 inch intervals with kitchen twine,,
1/8 teaspoon ground cinnamon,ground cinnamon,#1$8,teaspoon,,,,
1 tablespoon cocoa powder,cocoa powder,1,tablespoon,,,,
"3 tablespoons medium-roast coffee beans, finely ground",medium-roast coffee beans,3,tablespoon,,finely ground,,
1 teaspoon light-brown sugar,light-brown sugar,1,teaspoon,,,,
Kosher salt,Kosher salt,,,,,,
1/4 cup heavy cream,heavy cream,#1$4,cup,,,,
2 1/2 cups chicken stock,chicken stock,2#1$2,cup,,,,
4 large cloves garlic,garlic,4,large clove,,,,
1 1/2 cups chopped white onion,white onion,1#1$2,cup,,chopped,,
3 tablespoons unsalted butter,unsalted butter,3,tablespoon,,,,
1 6-inch white-corn tortilla,white-corn tortilla,1,,6 inch,,,
2 dried pasilla chilies,dried pasilla chilies,2,,,,,
1 teaspoon pomegranate molasses,pomegranate molasses,1,teaspoon,,,,
2 dashes of Angostura bitters,Angostura bitters,2,dash,,,of,
1/2 ounce apple schnapps,apple schnapps,#1$2,ounce,,,,
1/2 ounce sweet vermouth,sweet vermouth,#1$2,ounce,,,,
2 ounces applejack,applejack,2,ounce,,,,
"1 orange slice 1 1/4-inch thick, cut in half",orange,1,slice,1#1$4 inch thick,cut in half,,
1 cup sugar,sugar,1,cup,,,,
"12 ounces cranberries, washed and picked over",cranberries,12,ounce,,washed and picked over,,
"1 1/2 cups strawberries (about 1 pint), hulled and halved",strawberries,1#1$2 1,cup pint,,hulled and halved,about,
3 bananas,bananas,3,,,,,
3 tablespoons Triple Sec,Triple Sec,3,tablespoon,,,,
3 tablespoons fresh lemon juice,fresh lemon juice,3,tablespoon,,,,
3/4 cup fresh orange juice,fresh orange juice,#3$4,cup,,,,
"3 papayas (1 pound each), peeled and cut into 1-inch chunks (about 4 cups)",papayas,3 1 4,pound cup,,peeled and cut into 1 inch chunk,each about,
"6 kiwis (3 to 4 ounces each), peeled and cut into rounds about 1/4-inch thick",kiwis,6 3-4,ounce,,peeled and cut into rounds about #1$4 inch thick,each,
"3 McIntosh apples (8 ounces each), peeled, quartered, cored and cut into thin wedges (about 3 cups)",McIntosh apples,3 8 3,ounce cup,,peeled quartered cored and cut into thin wedge,each about,
"3 Anjou pears (8 ounces each), peeled, halved, cored and thinly sliced lengthwise (about 3 cups)",Anjou pears,3 8 3,ounce cup,,peeled halved cored and thinly sliced lengthwise,each about,
"1 small pineapple, peeled, cored and cut into 1-inch chunks (about 3 cups)",pineapple,1 3,cup,small,peeled cored and cut into 1 inch chunk,about,
"9 juice oranges (6 ounces each), peeled and sectioned",juice oranges,9 6,ounce,,peeled and sectioned,each,
"2 small pink grapefruits (12 ounces each) or 1 large pink grapefruit, peeled and sectioned",pink grapefruits,2 12,ounce,small,peeled and sectioned,each or 1 large pink grapefruit,
"3 cups seedless grapes, equal amounts of red and green",seedless grapes,3,cup,,,equal amounts of red and green,
"18 kumquats, thinly sliced",kumquats,18,,,thinly sliced,,
1 cup sifted granulated sugar (optional),granulated sugar,1,cup,,sifted,optional,
1 teaspoon pure vanilla extract,pure vanilla extract,1,teaspoon,,,,
1 1/4 cups cake flour,cake flour,1#1$4,cup,,,,
Pinch of kosher salt,kosher salt,,Pinch,,,of,
"3 egg whites, from Grade A large eggs",egg whites,3,,,,from Grade A large eggs,
1/2 cup dark brown sugar,dark brown sugar,#1$2,cup,,,,
"3/4 cup unsalted butter, at room temperature",unsalted butter,#3$4,cup,,at room temperature,,
Freshly ground black pepper,black pepper,,,,Freshly ground,,
5 tablespoons Pernod,Pernod,5,tablespoon,,,,
4 teaspoons kosher salt,kosher salt,4,teaspoon,,,,
1/4 cup fresh lemon juice,fresh lemon juice,#1$4,cup,,,,
1 cup olive oil,olive oil,1,cup,,,,
1 cup fresh orange juice,fresh orange juice,1,cup,,,,
"3 heads fennel, tops removed and thinly sliced across the bulb (about 6 cups)",fennel,3 6,head cup,,tops removed and thinly sliced across the bulb,about,
"2 large heads romaine lettuce, torn into small pieces (about 8 cups)",romaine lettuce,2 8,large head cup,,torn into small piece,about,
6 bunches watercress (about 12 cups of sprigs),watercress,6,bunch,,,about 12 cup of sprig,
"2 1/2 pounds bell peppers (about 6 peppers in assorted colors), cut into 2-inch chunks",bell peppers,2#1$2 6,pound,,cut into 2 inch chunk,about peppers in assorted colors,
"3/4 pound mushrooms, cut into 1/4-inch slices through the stem (4 cups)",mushrooms,#3$4 4,pound cup,,cut into #1$4 inch slice through the stem,,
4 pounds rigatoni,rigatoni,4,pound,,,,
2 bay leaves,bay leaf,2,,,,,
2 tablespoons kosher salt,kosher salt,2,tablespoon,,,,
"5 pounds sweet Italian sausage in casing, cut into 1-inch lengths",sweet Italian sausage in casing,5,pound,,cut into 1 inch length,,
1/2 teaspoon hot red-pepper flakes,hot red-pepper flakes,#1$2,teaspoon,,,,
1/4 teaspoon freshly ground black pepper,black pepper,#1$4,teaspoon,,freshly ground,,
2 tablespoons kosher salt,kosher salt,2,tablespoon,,,,
1 teaspoon thyme,thyme,1,teaspoon,,,,
1 1/2 teaspoons oregano,oregano,1#1$2,teaspoon,,,,
2 28-ounce cans crushed tomatoes,crushed tomatoes,2 28,ounce can,,,,
1/2 cup olive oil,olive oil,#1$2,cup,,,,
"8 cloves garlic, peeled and smashed",garlic,8,clove,,peeled and smashed,,
2 cups parsley leaves,parsley leaf,2,cup,,,,
3/4 cup of liquid from cooked mussels,liquid from cooked mussels,#3$4,cup,,,of,
4 tablespoons drained and rinsed capers,capers,4,tablespoon,,drained and rinsed,,
1/2 teaspoon freshly ground black pepper,black pepper,#1$2,teaspoon,,freshly ground,,
1 tablespoon kosher salt,kosher salt,1,tablespoon,,,,
1/4 cup good quality olive oil,good quality olive oil,#1$4,cup,,,,
1/2 cup fresh lemon juice,fresh lemon juice,#1$2,cup,,,,
"3/4 pound white onion, quartered and thinly sliced (2 cups)",white onion,#3$4 2,pound cup,,quartered and thinly sliced,,
"8 stalks (about 1 1/2 pounds) celery, peeled and cut diagonally into 1/4-inch slices",celery,8 1#1$2,stalk pound,,peeled and cut diagonally into #1$4 inch slice,about,
4 9-ounce boxes frozen artichoke hearts,frozen artichoke hearts,4 9,ounce box,,,,
1 teaspoon kosher salt,kosher salt,1,teaspoon,,,,
"3 1/4 pounds medium shrimp (20-24 to the pound), shelled",shrimp,3#1$4,pound,medium,shelled,20-24 to the pound,
"6 1/2 pounds mussels (about 6 dozen), scrubbed and beards removed",mussels,6#1$2 6 dozen,pound,,scrubbed and beards removed,about,
1/2 teaspoon sugar,sugar,#1$2,teaspoon,,,,
1 teaspoon Asian sesame oil,Asian sesame oil,1,teaspoon,,,,
10 ounces brussels sprouts,brussels sprouts,10,ounce,,,,
2 scallions,scallions,2,,,,,
"8 Italian, French or Greek black olives",Italian French or Greek black olives,8,,,,,
4 ripe plum tomatoes,ripe plum tomatoes,4,,,,,
1 teaspoon olive oil,olive oil,1,teaspoon,,,,
1 cup whole-wheat couscous,whole-wheat couscous,1,cup,,,,
No-salt added beef stock or broth,No-salt added beef stock or broth,,,,,,
8 ounces pork tenderloin,pork tenderloin,8,ounce,,,,
1 clove garlic,garlic,1,clove,,,,
1/2 teaspoon ground ginger,ground ginger,#1$2,teaspoon,,,,
1 teaspoon cumin,cumin,1,teaspoon,,,,
1 teaspoon ground cinnamon,ground cinnamon,1,teaspoon,,,,
1 teaspoon ground cloves,ground clove,1,teaspoon,,,,
1 teaspoon ground ginger,ground ginger,1,teaspoon,,,,
2 teaspoons baking soda,baking soda,2,teaspoon,,,,
1 1/2 teaspoons kosher salt,kosher salt,1#1$2,teaspoon,,,,
2 cups all-purpose flour,all-purpose flour,2,cup,,,,
1 large egg,egg,1,,large,,,
"1 cup sugar, plus 1/4 cup for dusting the cookies",sugar,1,cup,,,plus #1$4 cup for dusting the cookies,
4 tablespoons dark molasses,dark molasses,4,tablespoon,,,,
"3/4 cup bacon fat, cooled (from 1 1/2 to 2 pounds Oscar Mayer bacon)",bacon fat,#3$4,cup,,cooled,from 1#1$2-2 pound Oscar Mayer bacon,
"Maple syrup, optional",Maple syrup,,,,,optional,
1 1/4 cups chopped fresh cranberries,fresh cranberries,1#1$4,cup,,chopped,,
1 1/2 teaspoons salt,salt,1#1$2,teaspoon,,,,
2 tablespoons plus 2 teaspoons baking powder,baking powder,2 2,tablespoon teaspoon,,,plus,
2 tablespoons sugar,sugar,2,tablespoon,,,,
1/2 cup yellow cornmeal,yellow cornmeal,#1$2,cup,,,,
2 cups flour,flour,2,cup,,,,
4 large eggs,eggs,4,,large,,,
2 cups milk,milk,2,cup,,,,
Salt,Salt,,,,,,
"10 tablespoons butter, cut into chunks, plus more for greasing pan",butter,10,tablespoon,,cut into chunk,plus more for greasing pan,
1/2 tablespoon butter,butter,#1$2,tablespoon,,,,
1/2 cup heavy cream,heavy cream,#1$2,cup,,,,
2 tablespoons sugar,sugar,2,tablespoon,,,,
2 teaspoons cream cheese,cream cheese,2,teaspoon,,,,
2 teaspoons cornstarch,cornstarch,2,teaspoon,,,,
2 cups apple cider,apple cider,2,cup,,,,
3/4 teaspoon pumpkin-pie spice,pumpkin-pie spice,#3$4,teaspoon,,,,
1/2 teaspoon salt,salt,#1$2,teaspoon,,,,
1/2 cup packed light brown sugar,light brown sugar,#1$2,cup,,,packed,
2 Granny Smith apples,Granny Smith apples,2,,,,,
2 gala apples,gala apples,2,,,,,
Chopped fresh parsley leaves for garnish,fresh parsley leaf,,,,Chopped,,for garnish
"1 lemon, thinly sliced",lemon,1,,,thinly sliced,,
Flour for dredging,Flour,,,,,,for dredging
1 cup mixed good olives,mixed good olives,1,cup,,,,
"8 to 12 thin slices veal, preferably from the leg, pounded slightly until less than 1/4-inch thick",veal,8-12,thin slice,,pounded slightly until less than #1$4 inch thick,preferably from the leg,
Salt and pepper,Salt and pepper,,,,,,
1 teaspoon minced garlic,garlic,1,teaspoon,,minced,,
Extra virgin olive oil as needed,Extra virgin olive oil,,,,,as needed,
Freshly grated Parmesan,Parmesan,,,,Freshly grated,,
"1/4 cup chopped fresh basil, optional",fresh basil,#1$4,cup,,chopped,optional,
1/4 cup chopped fresh parsley,fresh parsley,#1$4,cup,,chopped,,
"6 cups stock or water, more as necessary",stock or water,6,cup,,,more as necessary,
"1 cup dried white beans, soaked for several hours or overnight",dried white beans,1,cup,,soaked for several hours or overnight,,
"1 cup farro, spelt or barley",farro,1,cup,,,spelt or barley,
1 tablespoon minced garlic,garlic,1,tablespoon,,minced,,
Salt and pepper,Salt and pepper,,,,,,
"2 carrots, peeled and chopped",carrots,2,,,peeled and chopped,,
"2 celery stalks, trimmed and chopped",celery,2,stalk,,trimmed and chopped,,
"1 large onion, sliced",onion,1,,large,sliced,,
2 tablespoons extra virgin olive oil,extra virgin olive oil,2,tablespoon,,,,
Chopped fresh parsley leaves for garnish,fresh parsley leaf,,,,Chopped,,for garnish
Black pepper,Black pepper,,,,,,
1/3 cup extra virgin olive oil,extra virgin olive oil,#1$3,cup,,,,
2 pounds potatoes,potatoes,2,pound,,,,
"1 1/2 to 2 pounds thick-cut cod, whiting, or hake fillets",thick-cut cod whiting or hake fillets,1#1$2-2,pound,,,,
Coarse salt as needed,Coarse salt,,,,,as needed,
1 teaspoon vanilla extract,vanilla extract,1,teaspoon,,,,
"2 tablespoons unsalted butter, at room temperature and cut into 4 pieces",unsalted butter,2,tablespoon,,at room temperature and cut into 4 piece,,
"5 ounces bittersweet chocolate, melted and still warm",bittersweet chocolate,5,ounce,,melted and still warm,,
2 large egg yolks,egg yolks,2,,large,,,
1/4 teaspoon salt,salt,#1$4,teaspoon,,,,
1 large egg,egg,1,,large,,,
2 tablespoons cornstarch,cornstarch,2,tablespoon,,,,
2 tablespoons cocoa,cocoa,2,tablespoon,,,,
6 tablespoons sugar,sugar,6,tablespoon,,,,
2 1/4 cups whole milk,whole milk,2#1$4,cup,,,,
3 tablespoons slivered almonds,almonds,3,tablespoon,,slivered,,
Pinch of salt,salt,,Pinch,,,of,
1 1/4 teaspoons vanilla extract,vanilla extract,1#1$4,teaspoon,,,,
7 egg whites,egg whites,7,,,,,
10 tablespoons confectioners' sugar,confectioners' sugar,10,tablespoon,,,,
2/3 cup heavy cream,heavy cream,#2$3,cup,,,,
"4 1/2 tablespoons flour, preferably cake flour",flour,4#1$2,tablespoon,,,preferably cake flour,
"About 2/3 cup blanched almonds, finely ground",blanched almonds,#2$3,cup,,finely ground,About,
3/4 cup granulated sugar,granulated sugar,#3$4,cup,,,,
4 egg yolks,egg yolks,4,,,,,
1/3 cup plus 1/4 cup kirsch or dark rum,kirsch or dark rum,#1$3 #1$4,cup cup,,,plus,
"2 16-ounce cans dark cherries, pitted",dark cherries,2 16,ounce can,,pitted,,
2 tablespoons chopped parsley,parsley,2,tablespoon,,chopped,,
2 tablespoons chopped parsley,parsley,2,tablespoon,,chopped,,
Freshly ground black pepper,black pepper,,,,Freshly ground,,
"3 large cloves garlic, smashed",garlic,3,large clove,,smashed,,
5 tablespoons tomato paste,tomato paste,5,tablespoon,,,,
6 cups chicken stock,chicken stock,6,cup,,,,
1 cup sliced onion,onion,1,cup,,sliced,,
1 1/2 pounds hot Italian or Spanish sausage,hot Italian or Spanish sausage,1#1$2,pound,,,,
"2 ducks, about 4 1/2 pounds each",ducks,2 4#1$2,pound,,,about each,
1 2 1/2-pound chunk of slab bacon,slab bacon,1 2#1$2,pound chunk,,,of,
"4 medium carrots, peeled and sliced",carrots,4,,medium,peeled and sliced,,
"1 onion, peeled and stuck with 2 cloves",onion,1,,,peeled and stuck with 2 clove,,
Rind from 1/2 pound salt pork,salt pork,#1$2,pound,,,Rind from,
2 pounds (5 1/2 cups) dry white beans (Great Northern),dry white beans Great Northern,2 5#1$2,pound cup,,,,
"3 tablespoons fresh parsley, chopped",fresh parsley,3,tablespoon,,chopped,,
"2/3 cup stale bread crumbs, from good bread",stale bread crumbs,#2$3,cup,,,from good bread,
1 stick plus 2 tablespoons butter,butter,1 2,stick tablespoon,,,plus,
"About 8 shallots, to yield 1 cup, minced",shallots,8 1,cup,,minced,About to yield,
"Black pepper, freshly ground",Black pepper,,,,freshly ground,,
Salt,Salt,,,,,,
"2 to 3 dozen scallops, to yield 1 pound",scallops,2-3 dozen 1,pound,,,to yield,
2 tablespoons unsalted butter,unsalted butter,2,tablespoon,,,,
2 to 3 teaspoons minced jalapeño,jalapeño,2-3,teaspoon,,minced,,
2 cups grated Monterey Jack,Monterey Jack,2,cup,,grated,,
2/3 cup corn oil,corn oil,#2$3,cup,,,,
2 cups buttermilk,buttermilk,2,cup,,,,
1 teaspoon baking soda,baking soda,1,teaspoon,,,,
1 teaspoon salt,salt,1,teaspoon,,,,
4 lightly beaten eggs,eggs,4,,,lightly beaten,,
2 cups stone-ground yellow cornmeal,stone-ground yellow cornmeal,2,cup,,,,
"2 8 1/2-ounce cans, or 2 cups plus 2 tablespoons cream-style corn",cream-style corn,2 8#1$2 2 2,ounce can cup tablespoon,,,or plus,
"Creme fraiche for topping, optional",Creme fraiche,,,,,optional,for topping
4 tablespoons regular or low-fat sour cream,regular or low-fat sour cream,4,tablespoon,,,,
1 tablespoon grated lime rind,lime rind,1,tablespoon,,grated,,
4 teaspoons lemon juice,lemon juice,4,teaspoon,,,,
Salt to taste,Salt,,,,,to taste,
1/4 teaspoon ground cloves or to taste,ground clove,#1$4,teaspoon,,,or to taste,
1 1/4 teaspoon ground cardamom,ground cardamom,1#1$4,teaspoon,,,,
3 tablespoons maple syrup,maple syrup,3,tablespoon,,,,
3 eggs,eggs,3,,,,,
3 pounds sweet potatoes,sweet potatoes,3,pound,,,,
1 cup good quality chicken stock (approximately),good quality chicken stock,1,cup,,,approximately,
2 lightly beaten eggs,eggs,2,,,lightly beaten,,
Salt and freshly ground black pepper to taste,Salt and black pepper,,,,freshly ground,to taste,
1 cup finely minced celery,celery,1,cup,,finely minced,,
1 1/2 cups green bell peppers,green bell peppers,1#1$2,cup,,,,
"2 large cloves garlic, minced",garlic,2,large clove,,minced,,
2 cups finely chopped onion,onion,2,cup,,finely chopped,,
2 tablespoons unsalted butter,unsalted butter,2,tablespoon,,,,
"2 hard-cooked eggs, chopped",eggs,2,,,hard-cooked chopped,,
5 cups toasted bread cubes,bread cube,5,cup,,toasted,,
5 cups corn bread cubes,corn bread cube,5,cup,,,,
2/3 cup coarsely chopped pecans,pecans,#2$3,cup,,coarsely chopped,,
6 tablespoons Grand Marnier,Grand Marnier,6,tablespoon,,,,
1/4 cup orange juice,orange juice,#1$4,cup,,,,
1/2 to 3/4 cup sugar,sugar,#1$2-#3$4,cup,,,,
1 pound fresh cranberries,fresh cranberries,1,pound,,,,
2 tablespoons coarse sugar like Demerara or turbinado (optional),coarse sugar,2,tablespoon,,,like Demerara or turbinado optional,
"2 sheets frozen puff pastry, thawed overnight in refrigerator",frozen puff pastry,2,sheet,,thawed overnight in refrigerator,,
1/8 teaspoon salt,salt,#1$8,teaspoon,,,,
Flour for rolling out pastry,Flour,,,,,,for rolling out pastry
1 tablespoon fresh lemon juice,fresh lemon juice,1,tablespoon,,,,
"1 cup peeled and grated tart apple, like Granny Smith (about 2 apples)",tart apple,1 2,cup,,peeled and grated,like Granny Smith about apples,
1/2 teaspoon ground cinnamon,ground cinnamon,#1$2,teaspoon,,,,
6 tablespoons granulated sugar,granulated sugar,6,tablespoon,,,,
1 tablespoon finely chopped crystallized ginger,crystallized ginger,1,tablespoon,,finely chopped,,
2/3 cup crumbled amaretti cookies,amaretti cookies,#2$3,cup,,crumbled,,
"1/8 teaspoon ground nutmeg, optional",ground nutmeg,#1$8,teaspoon,,,optional,
"1/4 teaspoon ground cinnamon, optional",ground cinnamon,#1$4,teaspoon,,,optional,
1/3 cup granulated sugar,granulated sugar,#1$3,cup,,,,
8 egg yolks,egg yolks,8,,,,,
"1 vanilla bean, split lengthwise",vanilla bean,1,,,split lengthwise,,
3 cups heavy cream,heavy cream,3,cup,,,,
1 cup canned pumpkin puree,canned pumpkin puree,1,cup,,,,
Freshly ground white pepper,white pepper,,,,Freshly ground,,
1/4 teaspoon ground cloves,ground clove,#1$4,teaspoon,,,,
1/4 teaspoon ground allspice,ground allspice,#1$4,teaspoon,,,,
1/4 cup red wine vinegar,red wine vinegar,#1$4,cup,,,,
1/2 cup maple syrup,maple syrup,#1$2,cup,,,,
Salt,Salt,,,,,,
1 cup heavy cream,heavy cream,1,cup,,,,
"1 celery root, about 1 1/2 pounds, peeled and cut in chunks",celery root,1 1#1$2,pound,,peeled and cut in chunk,about,
"Sesame oil for drizzling, optional",Sesame oil,,,,,optional,for drizzling
"1/2 cup roasted peanuts, optional",roasted peanuts,#1$2,cup,,,optional,
1/4 cup minced scallions,scallions,#1$4,cup,,minced,,
"1/4 cup crispy cooked bacon, minced, optional",bacon,#1$4,cup,,crispy cooked minced,optional,
Soy sauce or salt to taste,Soy sauce or salt,,,,,to taste,
"1/4 pound slab bacon, optional",slab bacon,#1$4,pound,,,optional,
"1 3-inch piece of ginger, peeled and roughly chopped",ginger,1,piece,3 inch,peeled and roughly chopped,of,
1 cup short-grain rice,short-grain rice,1,cup,,,,
"2 cups chicken stock, preferably homemade, or water",chicken stock or water,2,cup,,,preferably homemade,
3 tablespoons extra-virgin olive oil,extra-virgin olive oil,3,tablespoon,,,,
1 tablespoon chili powder,chili powder,1,tablespoon,,,,
"6 cups cooked pinto or kidney beans, or a mixture",pinto or kidney beans,6,cup,,cooked,or a mixture,
1/2 cup fresh lime juice,fresh lime juice,#1$2,cup,,,,
3 ripe Haas avocados,ripe Haas avocados,3,,,,,
"1 fresh jalapeno pepper, seeded and minced",fresh jalapeno pepper,1,,,seeded and minced,,
"2 medium-size cucumbers, peeled and seeded",cucumbers,2,,medium-size,peeled and seeded,,
"1 large red bell pepper, cored and seeded",red bell pepper,1,,large,cored and seeded,,
2 medium-size red onions,red onions,2,,medium-size,,,
3 pints cherry tomatoes,cherry tomatoes,3,pint,,,,
Salt and freshly ground black pepper,Salt and black pepper,,,,freshly ground,,
1/2 cup dry red wine,dry red wine,#1$2,cup,,,,
3 tablespoons concentrated duck or veal stock (glace de viande),concentrated duck or veal stock,3,tablespoon,,,glace de viande,
3 tablespoons reserved marinade (see note),reserved marinade,3,tablespoon,,,see note,
1 tablespoon finely minced fresh ginger,fresh ginger,1,tablespoon,,finely minced,,
"2 shallots, finely minced",shallots,2,,,finely minced,,
2 tablespoons fat from cooking duck breasts,fat from cooking duck breasts,2,tablespoon,,,,
1 tablespoon fresh lemon juice,fresh lemon juice,1,tablespoon,,,,
3 tablespoons light soy sauce,light soy sauce,3,tablespoon,,,,
2 tablespoons honey,honey,2,tablespoon,,,,
1 tablespoon Chinese five-spice powder,Chinese five-spice powder,1,tablespoon,,,,
3 moulard duck breasts (magret de canard),moulard duck breasts,3,,,,magret de canard,
"4 tablespoons chives, cut into 1-inch-long pieces",chives,4,tablespoon,,cut into 1 inch-long piece,,
4 tablespoons shaved parmesan cheese,parmesan cheese,4,tablespoon,,shaved,,
3/4 cup grated parmesan cheese,parmesan cheese,#3$4,cup,,grated,,
Salt and freshly ground black pepper,Salt and black pepper,,,,freshly ground,,
"1 pound parmesan cheese, chopped",parmesan cheese,1,pound,,chopped,,
8 cups chicken broth,chicken broth,8,cup,,,,
1 cup diced Spanish onion,Spanish onion,1,cup,,diced,,
2 tablespoons butter,butter,2,tablespoon,,,,
2 teaspoons salt,salt,2,teaspoon,,,,
5 cups peeled and diced eggplant,eggplant,5,cup,,peeled and diced,,
"Orange zest, for garnish (optional)",Orange zest,,,,,optional,for garnish
"finely crumbled gingersnap cookies, for rimming the glass",gingersnap cookies,,,,finely crumbled,,for rimming the glass
"Orange zest, for garnish (optional)",Orange zest,,,,,optional,for garnish
"Agave syrup (or honey) and finely crumbled gingersnap cookies, for rimming the glass",Agave syrup or honey and finely crumbled gingersnap cookies,,,,,,for rimming the glass
Dash of lemon juice,lemon juice,,Dash,,,of,
2 1/2 ounces apple cider,apple cider,2#1$2,ounce,,,,
1 ounce vanilla vodka,vanilla vodka,1,ounce,,,,
2 ounces Domaine de Canton ginger and cognac liqueur,Domaine de Canton ginger and cognac liqueur,2,ounce,,,,
Salt and freshly ground pepper,Salt and pepper,,,,freshly ground,,
1 tablespoon chopped fresh oregano or 1 teaspoon dried,fresh oregano,1,tablespoon,,chopped,or 1 teaspoon dried,
1 tablespoon chopped fresh basil or 1 teaspoon dried,fresh basil,1,tablespoon,,chopped,or 1 teaspoon dried,
1 6-ounce can tomato paste,tomato paste,1 6,ounce can,,,,
28 ounces no-salt-added whole tomatoes,no-salt-added whole tomatoes,28,ounce,,,,
"1 pound mushrooms, chopped",mushrooms,1,pound,,chopped,,
1/2 cup chopped carrots,carrots,#1$2,cup,,chopped,,
"2 large cloves of garlic, minced",garlic,2,large clove,,minced,of,
3/4 pound chopped onion,onion,#3$4,pound,,chopped,,
1 tablespoon olive oil,olive oil,1,tablespoon,,,,
1 pound extra-lean ground beef,extra-lean ground beef,1,pound,,,,
Olive oil for grilling,Olive oil,,,,,,for grilling
"6 swordfish steaks, 1-inch-thick",swordfish steaks,6,,1 inch-thick,,,
"8 anchovy fillets, dried on paper towels",anchovy fillets,8,,,dried on paper towels,,
1/3 cup chopped cornichons,cornichons,#1$3,cup,,chopped,,
1 cup diced red onion,red onion,1,cup,,diced,,
2 tablespoons capers,capers,2,tablespoon,,,,
1 tablespoon Dijon mustard,Dijon mustard,1,tablespoon,,,,
Grated rind from 2 lemons,lemons,2,,,Grated,rind from,
Juice of 1 lemon,lemon,1,,,Juice of,,
3/4 cup extra virgin olive oil,extra virgin olive oil,#3$4,cup,,,,
