input,name,quantity,unit,comment
"2 red peppers, deseeded and cut into chunky stips",red peppers,2,,deseeded and cut into chunky stips
2-3 tbsp mild curry powder,mild curry powder,2-3,tbsp,
1x 400 g can plum tomatoes,plum tomatoes,1x,400 g can,
"basmati rice, to serve",basmati rice,,,to serve
"1 large sweet potato, cut into chips",sweet potato,1,large,cut into chips
4 tsp olive oil,olive oil,4,tsp,
2x 140 g skinless salmon fillets,skinless salmon fillets,2x,140 g,
"thumbnail-size piece ginger, grated",ginger,,thumbnail-size piece,grated
"zest 1 lime, plus wedges to serve",zest 1 lime,,,plus wedges to serve
"bunch spring onions, finely chopped",spring onions,,bunch,finely chopped
8 chicken thighs,chicken thighs,8,,
3 tbsp grated fresh ginger,grated fresh ginger,3,tbsp,
"4 cloves garlic, finely chopped",garlic,4,cloves,finely chopped
juice of lemon,juice of lemon,,,
1 tsp paprika,paprika,1,tsp,
1 tsp ground coriander,ground coriander,1,tsp,
1 tbsp oil,oil,1,tbsp,
"2 onions, cut into wedges",onions,2,,cut into wedges
1x 400 ml cans coconut milk,coconut milk,1x,400 ml cans,
"1 pinch saffron, or 1 tsp tumeric",saffron,1,pinch,or 1 tsp tumeric
"1 fat red chilli, desseded and cut into slices",fat red chilli,1,,desseded and cut into slices
0.5 chicken stock cube,chicken stock cube,0.5,,
1 tbsp chopped fresh coriander,chopped fresh coriander,1,tbsp,
2 mugs rice,rice,2,mugs,
1 mug peas,peas,1,mug,
4 naan breads,naan breads,4,,
250 g orzo,orzo,250,g,
"70 ml olive oil, plus extra to serve",olive oil,70,ml,plus extra to serve
"2 onions, roughly chopped",onions,2,,roughly chopped
500 g baby spinach, baby spinach,500,g,
"30 g coriander, finely chopped",coriander,30,g,finely chopped
salt and black pepper,salt and black pepper,,,
200 g Greek-style yoghurt,Greek-style yoghurt,200,g,
"1 green chilli, deseeded and finely chopped",green chilli,1,,deseeded and finely chopped
"1 clove garlic, crushed",garlic,1,clove,crushed
"10 g dill, finely chopped",dill,10,g,finely chopped
1 tbsp lemon juice,lemon juice,1,tbsp,
1.5 tbsp olive oil,olive oil,1.5,tbsp,
1 tsp nigella seeds,nigella seeds,1,tsp,
"1 lemon, quartered into wedges",lemon,1,,quartered into wedges
2-3 tbsp vegetable oil,vegetable oil,2-3,tbsp,
"1 onion, chopped",onion,1,,chopped
500 g lamb mince,lamb mince,500,g,
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
2 tbsp curry powder,curry powder,2,tbsp,
"1 large sweet potato (about 300g), peeled and grated",sweet potato (about 300g),1,large,peeled and grated
100 g frozen peas,frozen peas,100,g,
"handful coriander, roughly chopped",coriander,,handful,roughly chopped
juice 0.5 lemon,juice 0.5 lemon,,,
3-4 sheets filo pastry,filo pastry,3-4,sheets,
1 tsp cumin seeds,cumin seeds,1,tsp,
2 tbsp sunflower oil,sunflower oil,2,tbsp,
"8 frozen lamb loin chops or cutlets, idealy herb rubbed",frozen lamb loin chops or cutlets,8,,idealy herb rubbed
100 ml red wine,red wine,100,ml,
0.5 lamb stock cube,lamb stock cube,0.5,,
"150 ml cold water, plus 2 tbsp",cold water,150,ml,plus 2 tbsp
1 tbsp redcurrant jelly,redcurrant jelly,1,tbsp,
1 tbsp cornflour,cornflour,1,tbsp,
"2 tbsp olive oil, with a knob of butter",olive oil,2,tbsp,with a knob of butter
"1 onion, finely chopped",onion,1,,finely chopped
"3 sprigs rosemary, 1 finely chopped, the other 2 cut in half",rosemary,3,sprigs,"1 finely chopped, the other 2 cut in half"
"1 large thumb sized piece fresh ginger, peeled and finely chopped",fresh ginger,1,large thumb sized piece,peeled and finely chopped
"2 red chillies, deseeded and finely chopped",red chillies,2,,deseeded and finely chopped
1-2 cinnamon sticks,cinnamon sticks,1-2,,
8 chicken thighs,chicken thighs,8,,
175 g ready to eat dried apricots,ready to eat dried apricots,175,g,
2 tbsp clear honey,clear honey,2,tbsp,
1x 400 g can plum tomatoes with their juice,plum tomatoes with their juice,1x,400 g can,
sea salt and freshly ground black pepper,sea salt and freshly ground black pepper,,,
small bunch of fresh green or purple basil leaves,small bunch of fresh green or purple basil leaves,,,
2 tbsp toasted sesame oil,toasted sesame oil,2,tbsp,
"6 skinless and boneless chicken thighs, sliced",skinless and boneless chicken thighs,6,,sliced
"2 large cloves garlic, crushed",garlic,2,large cloves,crushed
"1 thumb-sized piece ginger, grated",ginger,1,thumb-sized piece,grated
50 g runny honey,runny honey,50,g,
30 ml light soy sauce,light soy sauce,30,ml,
1 tbsp rice wine vinegar,rice wine vinegar,1,tbsp,
"1 tbsp sesame seeds, to serve",sesame seeds,1,tbsp,to serve
"4 spring onions, shredded, to serve",spring onions,4,,"shredded, to serve"
"sticky rice, to serve",sticky rice,,,to serve
"steamed bok choi or spring greens, to serve",steamed bok choi or spring greens,,,to serve
olive oil,olive oil,,,
"5 cm piece of fresh root ginger, peeled and thinly sliced into matchsticks, plus extra to serve",piece of fresh root ginger,5,cm,"peeled and thinly sliced into matchsticks, plus extra to serve"
"2 stalks lemon grass, tough 2-3 outer layers discarded, soft insides bashed and finely chopped",lemon grass,2,stalks,"tough 2-3 outer layers discarded, soft insides bashed and finely chopped"
"2 fat cloves garlic, finely chopped",garlic,2,fat cloves,finely chopped
75 g butter,butter,75,g,
120 g risotto rice,risotto rice,120,g,
"2 sweetcorn cobs, kernels sliced off",sweetcorn cobs,2,,kernels sliced off
"0.5 small packet of fresh coriander, stalks and leaves separated, both very finely chopped",of fresh coriander,0.5,small packet,"stalks and leaves separated, both very finely chopped"
"1 litre water, boiling",water,1,litre,boiling
12-14 raw peeled tiger prawns,raw peeled tiger prawns,12-14,,
"4 spring onions, thinly sliced from root to tip, plus extra to serve",spring onions,4,,"thinly sliced from root to tip, plus extra to serve"
Maldon sea salt flakes and freshly ground pepper,Maldon sea salt flakes and freshly ground pepper,,,
"2 pinches of pul biber chilli flakes, to serve (optional)",of pul biber chilli flakes,2,pinches,to serve (optional)
25 g butter,butter,25,g,
"3 rashers streaky bacon, chopped",streaky bacon,3,rashers,chopped
"1 onion, chopped",onion,1,,chopped
"400 g trimmed leek, sliced and well washed",trimmed leek,400,g,sliced and well washed
"3 medium potatoes, peeled and diced",potatoes,3,medium,peeled and diced
1.4 l hot vegetable stock,hot vegetable stock,1.4,l,
142 ml pot single cream,pot single cream,142,ml,
"4 rashers streaky bacon, to serve",streaky bacon,4,rashers,to serve
"450 g lean beef steak, cut into thin strips",lean beef steak,450,g,cut into thin strips
grated rind and juice of 1 orange,grated rind and juice of 1 orange,,,
15 ml light soy sauce,light soy sauce,15,ml,
1 tsp cornflour,cornflour,1,tsp,
"2.5 cm piece fresh root ginger, finely chopped",fresh root ginger,2.5,cm piece,finely chopped
15 ml sunflower oil,sunflower oil,15,ml,
"1 large carrot, cut into thin strips",carrot,1,large,cut into thin strips
"2 spring onions, thinly sliced",spring onions,2,,thinly sliced
"noodles or rice, to serve",noodles or rice,,,to serve
"4 medium potatoes, peeled and cut into 2 cm chunks",potatoes,4,medium,peeled and cut into 2 cm chunks
"1 small head broccoli, stalk chopped and head cut into florets",broccoli,1,small head,stalk chopped and head cut into florets
2 mugs defrosted frozen peas,defrosted frozen peas,2,mugs,
25 g butter,butter,25,g,
25 g butter,butter,25,g,
4 cod fillets,cod fillets,4,,
1 beaten egg,beaten egg,1,,
4 tbsps dessicated coconut,dessicated coconut,4,tbsps,
oil to fry,oil to fry,,,
juice of a lemon,juice of a lemon,,,
4 tbsp light brown sugar,light brown sugar,4,tbsp,
2 tbsp water,water,2,tbsp,
salt and pepper,salt and pepper,,,
700 g broccoli,broccoli,700,g,
2 tbsps vegetable oil,vegetable oil,2,tbsps,
Kosher salt and freshly ground black pepper,Kosher salt and freshly ground black pepper,,,
45 g unsalted butter,unsalted butter,45,g,
"1 medium onion, sliced (about 6 ounces; 170g)",onion,1,medium,sliced (about 6 ounces; 170g)
"1 medium carrot, peeled and finely diced (about 4 ounces; 120g)",carrot,1,medium,peeled and finely diced (about 4 ounces; 120g)
"3 medium cloves garlic, thinly sliced",garlic,3,medium cloves,thinly sliced
"475 ml water, or homemade or store-bought low-sodium chicken stock",water,475,ml,or homemade or store-bought low-sodium chicken stock
700 ml whole milk,whole milk,700,ml,
"1 small russet potato, peeled and sliced (about 4 ounces; 120g)",russet potato,1,small,peeled and sliced (about 4 ounces; 120g)
"340 g sharp cheddar cheese, grated (see note)",sharp cheddar cheese,340,g,grated (see note)
"240 g deli-style American cheese, diced (see note)",deli-style American cheese,240,g,diced (see note)
3 g mustard powder,mustard powder,3,g,
"Dash of hot sauce, such as Frank's RedHot","Dash of hot sauce, such as Frank's RedHot",,,
"3 tbsp olive oil, plus a little extra to serve",olive oil,3,tbsp,plus a little extra to serve
"3 cloves garlic, finely sliced",garlic,3,cloves,finely sliced
"1 large red onion, finely chopped (160 g)",red onion,1,large,finely chopped (160 g)
0.5 tbsp picked thyme leaves,picked thyme leaves,0.5,tbsp,
"2 small aubergines, cut into chunks, about 5 x 2 cm (420 g)",aubergines,2,small,"cut into chunks, about 5 x 2 cm (420 g)"
200 g cherry tomatoes,cherry tomatoes,200,g,
180 g Puy lentils,Puy lentils,180,g,
500 ml vegetable stock,vegetable stock,500,ml,
80 ml dry white wine,dry white wine,80,ml,
100 g crème fraîche,crème fraîche,100,g,
1 tsp Urfa chilli flakes (or 0.5 tsp regular chilli flakes),Urfa chilli flakes (or 0.5 tsp regular chilli flakes),1,tsp,
2 tsp picked oregano leaves,picked oregano leaves,2,tsp,
salt and black pepper,salt and black pepper,,,
1 pack Gordan Rhodes Moroccan Style Tagine Sauce Mix,Gordan Rhodes Moroccan Style Tagine Sauce Mix,1,pack,
"1 kg lamb, diced",lamb,1,kg,diced
"2 large onions, chopped",onions,2,large,chopped
1x 400 g tin chopped tomatoes,chopped tomatoes,1x,400 g tin,
400 ml water,water,400,ml,
"150 g prunes or apricots, chopped",prunes or apricots,150,g,chopped
4 eggs,eggs,4,,
50 g harissa,harissa,50,g,
200 g Greek yogurt,Greek yogurt,200,g,
handful micro herbs,handful micro herbs,,,
"500 g sweet potato, peeled and grated",sweet potato,500,g,peeled and grated
200 g gluten-free flour,gluten-free flour,200,g,
"1 small pack parsley, chopped",pack parsley,1,small,chopped
4 egg whites,egg whites,4,,
50 g harissa,harissa,50,g,
"olive oil, for frying",olive oil,,,for frying
2 tsp olive oil,olive oil,2,tsp,
"3 cloves garlic, crushed",garlic,3,cloves,crushed
1x 400 g tin cherry tomatoes,cherry tomatoes,1x,400 g tin,
100 ml robust red wine (such as Rioja or Merlot),robust red wine (such as Rioja or Merlot),100,ml,
1 tsp caster sugar,caster sugar,1,tsp,
"150 g pappardelle, or other pasta of your choice",pappardelle,150,g,or other pasta of your choice
100 g pitted Manzanilla olives with garlic and herbs,pitted Manzanilla olives with garlic and herbs,100,g,
"a large handful basil, roughly torn",basil,,a large handful,roughly torn
"40 g vegetarian feta, crumbled",vegetarian feta,40,g,crumbled
2 tsp kosher salt,kosher salt,2,tsp,
0.5 lb linguine pasta,linguine pasta,0.5,lb,
3 tbsp unsalted butter,unsalted butter,3,tbsp,
2 tbsp olive oil,olive oil,2,tbsp,
3 cloves garlic,garlic,3,cloves,
0.25 tsp crushed red pepper flakes,crushed red pepper flakes,0.25,tsp,
0.5 cup dry white wine,dry white wine,0.5,cup,
"1 lb frozen shrimp, defrosted and peeled",frozen shrimp,1,lb,defrosted and peeled
1 tsp freshly ground black pepper,freshly ground black pepper,1,tsp,
juice of 1 lemon,juice of 1 lemon,,,
"2 tbsp parsley, chopped",parsley,2,tbsp,chopped
125 g softened butter,softened butter,125,g,
210 g soft brown sugar,soft brown sugar,210,g,
1 tsp vanilla extract,vanilla extract,1,tsp,
1 egg,egg,1,,
170 g self raising flour,self raising flour,170,g,
150 g smarties,smarties,150,g,
0.5 mug oats,oats,0.5,mug,
1 tbsp cocoa,cocoa,1,tbsp,
Smarties to decorate,Smarties to decorate,,,
"100 g fresh pineapple, cut into chunks",fresh pineapple,100,g,cut into chunks
1 tbsp extra-virgin olive oil,extra-virgin olive oil,1,tbsp,
0.5 tsp dried oregano,dried oregano,0.5,tsp,
"2 lemons, 1.5 juiced, 0.5 sliced",lemons,2,,"1.5 juiced, 0.5 sliced"
"2 large chicken thighs, skin on bone in",chicken thighs,2,large,skin on  bone in
200 g tenderstem broccoli,tenderstem broccoli,200,g,
"100 g baby leaf spinach, finely chopped",baby leaf spinach,100,g,finely chopped
2 tbsp olive or rapeseed oil,olive or rapeseed oil,2,tbsp,
"4 cloves garlic, finely choppped",garlic,4,cloves,finely choppped
"2 large onions, chopped",onions,2,large,chopped
3 tbsp sweet pimenton or mild chilli powder,sweet pimenton or mild chilli powder,3,tbsp,
3 tbsp ground cumin,ground cumin,3,tbsp,
3 tbsp cider vinegar,cider vinegar,3,tbsp,
2 tbsp brown sugar,brown sugar,2,tbsp,
2x 400 g cans chopped tomatoes,chopped tomatoes,2x,400 g cans,
"2x 400 g cans black beans, drained and rinsed",black beans,2x,400 g cans,drained and rinsed
"boiled long grain rice, plus some of the following toppings: crumbled feta, chopped spring onions, sliced radishes, avocado chunks",boiled long grain rice,,,"plus some of the following toppings: crumbled feta, chopped spring onions, sliced radishes, avocado chunks"
"750 g baby new potatoes, skin on and halved lengthways",baby new potatoes,750,g,skin on and halved lengthways
2 tbsp olive oil,olive oil,2,tbsp,
"5 g parsley, roughly chopped",parsley,5,g,roughly chopped
salt and black pepper,salt and black pepper,,,
"1 large cloves garlic, crushed",garlic,1,large cloves,crushed
1 tsp Dijon mustard,Dijon mustard,1,tsp,
"1 large egg, plus 1 yolk",egg,1,large,plus 1 yolk
100 ml olive oil,olive oil,100,ml,
100 ml sunflower oil,sunflower oil,100,ml,
1 tbsp lemon juice,lemon juice,1,tbsp,
75 g Greek-style yoghurt,Greek-style yoghurt,75,g,
30 g unsalted butter,unsalted butter,30,g,
20 g pine nuts,pine nuts,20,g,
0.25 tsp smoked paprika,smoked paprika,0.25,tsp,
"50 g cold butter, diced",cold butter,50,g,diced
50 g plain flour,plain flour,50,g,
50 g rolled oats,rolled oats,50,g,
50 g light brown sugar,light brown sugar,50,g,
zest &frac12; orange,zest &frac12; orange,,,
"600 g forced rhubarb, trimmed",forced rhubarb,600,g,trimmed
240 g caster sugar,caster sugar,240,g,
"zest of &frac12; orange, plus 1 tbsp juice",zest of &frac12;  orange,,,plus 1 tbsp juice
"150 g long-life custard (such as Ambrosia), plus extra to serve if you like",long-life custard (such as Ambrosia),150,g,plus extra to serve if you like
"200 g soft salted butter, plus extra to grease",soft salted butter,200,g,plus extra to grease
2 tsp vanilla extract,vanilla extract,2,tsp,
3 large eggs,eggs,3,large,
200 g self-raising flour,self-raising flour,200,g,
75 g ground almonds,ground almonds,75,g,
0.5 tsp baking powder,baking powder,0.5,tsp,
1.5 tsp saffron threads,saffron threads,1.5,tsp,
pinch of granulated sugar,of granulated sugar,,pinch,
"1 large lemon, zested, plus &frac13; cup fresh lemon juice",lemon,1,large,"zested, plus &frac13; cup fresh lemon juice"
0.25 cup extra-virgin olive oil,extra-virgin olive oil,0.25,cup,
"3 large cloves garlic, finely grated",garlic,3,large cloves,finely grated
4 tsp kosher salt,kosher salt,4,tsp,
0.5 tsp black pepper,black pepper,0.5,tsp,
"2 lbs boneless, skinless chicken thighs, cut into 2-inch pieces","boneless, skinless chicken thighs",2,lbs,cut into 2-inch pieces
"1 large yellow onion, thinly sliced",yellow onion,1,large,thinly sliced
12 oz cherry tomatoes,cherry tomatoes,12,oz,
"3 large ripe but firm yellow peaches, cut into &frac34;-inch wedges",ripe but firm yellow peaches,3,large,cut into &frac34;-inch wedges
"2 tbsp unsalted butter, melted, for basting",unsalted butter,2,tbsp,"melted, for basting"
"Lavash bread, for serving (optional)",Lavash bread,,,for serving (optional)
"Lime wedges, for serving",Lime wedges,,,for serving
"Sumac, for serving",Sumac,,,for serving
12 good quality sausages,good quality sausages,12,,
1 tbsp olive oil to fry,olive oil to fry,1,tbsp,
4-5 medium potatoes,potatoes,4-5,medium,
3 tbsp cream,cream,3,tbsp,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, sliced",onion,1,,sliced
1 tbsp plain flour,plain flour,1,tbsp,
0.5 mug Marsala wine (or sherry),Marsala wine (or sherry),0.5,mug,
zest of lemon,zest of lemon,,,
2 tbsp blackcurrant jelly,blackcurrant jelly,2,tbsp,
1 mug water,water,1,mug,
1 beef stock cube,beef stock cube,1,,
500 g lean turkey breast mince,lean turkey breast mince,500,g,
"1 red pepper, deseeded and finely diced",red pepper,1,,deseeded and finely diced
"1 large courgette, trimmed and finely diced",courgette,1,large,trimmed and finely diced
"1 large carrot, grated",carrot,1,large,grated
1x 500 g jar Dolmio Original Bolognese Sauce,Dolmio Original Bolognese Sauce,1x,500 g jar,
200 g fusilli,fusilli,200,g,
50 g frozen peas,frozen peas,50,g,
50 g frozen sweetcorn,frozen sweetcorn,50,g,
"30 g grated Parmesan, to serve",grated Parmesan,30,g,to serve
"1 tbsp sesame oil, plus extra to serve (optional)",sesame oil,1,tbsp,plus extra to serve (optional)
250 g lamb mince,lamb mince,250,g,
3 nests medium egg noodles,medium egg noodles,3,nests,
"1 head broccoli, cut into medium florets stalk sliced",broccoli,1,head,cut into medium florets  stalk sliced
"2 tbsp soy sauce, plus extra to serve (optional)",soy sauce,2,tbsp,plus extra to serve (optional)
1 tsp chilli flakes,chilli flakes,1,tsp,
2 tbsp sesame seeds,sesame seeds,2,tbsp,
"3 cloves garlic, finely chopped",garlic,3,cloves,finely chopped
"thumb-sized piece root ginger, finely chopped",root ginger,,thumb-sized piece,finely chopped
"6 spring onions, thinly sliced",spring onions,6,,thinly sliced
"300 g pak choi, leaves separated",pak choi,300,g,leaves separated
225 g long grain rice,long grain rice,225,g,
1 tbsp olive oil,olive oil,1,tbsp,
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"1 onion, finely chopped",onion,1,,finely chopped
"2 rashers smoked streaky bacon, trimmed of fat, chopped",smoked streaky bacon,2,rashers,"trimmed of fat, chopped"
"175 g chestnut mushrooms, sliced",chestnut mushrooms,175,g,sliced
2x 400 g cans chopped tomatoes,chopped tomatoes,2x,400 g cans,
"1x 200 g can tuna in spring water, drained",tuna in spring water,1x,200 g can,drained
"generous handful flat-leaf parsley leaves, finely chopped",flat-leaf parsley leaves,,generous handful,finely chopped
"3 spring onions, sliced",spring onions,3,,sliced
1 tsp grated fresh ginger,grated fresh ginger,1,tsp,
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
"1 chicken breast, cut into thin strips",chicken breast,1,,cut into thin strips
"3 mushrooms, sliced",mushrooms,3,,sliced
1.5 mugs boiling water,boiling water,1.5,mugs,
1 tsp concentrated chicken stock,concentrated chicken stock,1,tsp,
1 tsp soy sauce,soy sauce,1,tsp,
2 tbsp hoisin sauce,hoisin sauce,2,tbsp,
0.5x 240 g can sweetcorn,sweetcorn,0.5x,240 g can,
0.5x 400 g pack straight to wok noodles,straight to wok noodles,0.5x,400 g pack,
1 tbsp oil,oil,1,tbsp,
olive oil,olive oil,,,
"700 g potatoes, peeled and cut into 2.5cm dice",potatoes,700,g,peeled and cut into 2.5cm dice
"2 red onions, peeled and roughly chopped",red onions,2,,peeled and roughly chopped
"2 carrots, peeled and roughly chopped",carrots,2,,peeled and roughly chopped
"2 sticks celery, trimmed and roughly chopped",celery,2,sticks,trimmed and roughly chopped
"2 sprigs fresh rosemary, leaves picked",fresh rosemary,2,sprigs,leaves picked
1 level tsp ground cumin,ground cumin,1,level tsp,
1 heaped tbsp smoked paprika,smoked paprika,1,heaped tbsp,
"1 orange, zest and juice of",orange,1,,zest and juice of
"800 g stewing steak, quality lamb or higher-welfare pork, cubed","stewing steak, quality lamb or higher-welfare pork",800,g,cubed
"410 g good-quality tinned cooked chickpeas, drained",good-quality tinned cooked chickpeas,410,g,drained
"2x 400 g tin good-quality plum tomatoes, chopped",good-quality plum tomatoes,2x,400 g tin,chopped
sea salt,sea salt,,,
freshly ground black pepper,freshly ground black pepper,,,
"1 tub fresh live yoghurt, to serve",fresh live yoghurt,1,tub,to serve
"1 handful fresh coriander, leaves picked to serve",fresh coriander,1,handful,leaves picked  to serve
250 g long-grain brown rice,long-grain brown rice,250,g,
150 g frozen peas,frozen peas,150,g,
100 g mangetout,mangetout,100,g,
1.5 tbsp rapeseed oil,rapeseed oil,1.5,tbsp,
"1 onion, finely chopped",onion,1,,finely chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
"thumb-sized piece of ginger, finely grated",of ginger,,thumb-sized piece,finely grated
150 g raw king prawns,raw king prawns,150,g,
"3 medium eggs, beaten",eggs,3,medium,beaten
2 tsp sesame seeds,sesame seeds,2,tsp,
1 tbsp low-salt soy sauce,low-salt soy sauce,1,tbsp,
0.5 tbsp rice or white wine vinegar,rice or white wine vinegar,0.5,tbsp,
"4 spring onions, trimmed and sliced",spring onions,4,,trimmed and sliced
350 g young spinach leaves,young spinach leaves,350,g,
1 tbsp butter,butter,1,tbsp,
2 cloves garlic,garlic,2,cloves,
4 pizza bases,pizza bases,4,,
1-2 tbsp olive oil,olive oil,1-2,tbsp,
650 g tomato sauce,tomato sauce,650,g,
"150 g mozzarella cheese, drained and thinly sliced",mozzarella cheese,150,g,drained and thinly sliced
4 small eggs,eggs,4,small,
"50 g fontina or Gruyere cheese, finely grated",fontina or Gruyere cheese,50,g,finely grated
sea salt and freshly ground black pepper,sea salt and freshly ground black pepper,,,
0.25 cup mayonnaise,mayonnaise,0.25,cup,
0.25 cup basil pesto,basil pesto,0.25,cup,
1 tbsp lemon juice,lemon juice,1,tbsp,
0.125 tsp freshly cracked pepper,freshly cracked pepper,0.125,tsp,
2x 15 oz cans chickpeas,chickpeas,2x,15 oz cans,
0.25 cup red onion,red onion,0.25,cup,
0.25 cup fresh parsley,fresh parsley,0.25,cup,
2 cups long grain or medium grain rice,long grain or medium grain rice,2,cups,
Water,Water,,,
1 cup broken vermicelli pasta,broken vermicelli pasta,1,cup,
2.5 tbsps olive oil,olive oil,2.5,tbsps,
Salt,Salt,,,
"0.5 cups toasted pine nuts, optional to finish",toasted pine nuts,0.5,cups,optional to finish
2 tsp olive oil,olive oil,2,tsp,
"1 onion, finely chopped",onion,1,,finely chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
0.5 tsp dried chilli flakes,dried chilli flakes,0.5,tsp,
200 g wholemeal penne pasta,wholemeal penne pasta,200,g,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
100 ml red wine,red wine,100,ml,
0.5 tsp dried oregano,dried oregano,0.5,tsp,
1x 125 g bag young spinach leaves,young spinach leaves,1x,125 g bag,
"25 g parmesan or vegetarian alternative, grated",parmesan or vegetarian alternative,25,g,grated
"180 g unsalted butter, at room temperature",unsalted butter,180,g,at room temperature
160 g soft dark brown sugar,soft dark brown sugar,160,g,
160 g soft light brown sugar,soft light brown sugar,160,g,
finely grated zest of 1 large orange,finely grated zest of 1 large orange,,,
3 large eggs,eggs,3,large,
120 g soured cream,soured cream,120,g,
1 tbsp vanilla extract,vanilla extract,1,tbsp,
1 tsp mixed spice,mixed spice,1,tsp,
225 g plain flour,plain flour,225,g,
0.75 tsp salt,salt,0.75,tsp,
0.5 tsp bicarbonate of soda,bicarbonate of soda,0.5,tsp,
"1 tsp malt vinegar, or apple cider vinegar",malt vinegar,1,tsp,or apple cider vinegar
"icing sugar, for dusting",icing sugar,,,for dusting
2 tbsp oil,oil,2,tbsp,
500 g diced braising steak,diced braising steak,500,g,
1 tbsp butter,butter,1,tbsp,
"1 large onion, chopped",onion,1,large,chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
"1 thumb sized piece ginger, finely grated",ginger,1,thumb sized piece,finely grated
0.25 tsp hot chilli powder,hot chilli powder,0.25,tsp,
1 tsp turmeric,turmeric,1,tsp,
2 tsp ground coriander,ground coriander,2,tsp,
"3 pods cardamom, crushed",cardamom,3,pods,crushed
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
300 ml beef stock,beef stock,300,ml,
1 tsp sugar,sugar,1,tsp,
2 tsp garam masala,garam masala,2,tsp,
2 tbsp double cream (optional),double cream (optional),2,tbsp,
"0.5 small bunch coriander, roughly chopped",coriander,0.5,small bunch,roughly chopped
"naan bread or rice, to serve",naan bread or rice,,,to serve
"640 g skinless chicken thigh fillets, each cut into thirds",skinless chicken thigh fillets,640,g,each cut into thirds
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, sliced",onion,1,,sliced
"300 g leeks (about 2), thickly sliced",leeks (about 2),300,g,thickly sliced
"500 ml chicken stock, use gluten-free if required",chicken stock,500,ml,use gluten-free if required
"3 tbsp tarragon, chopped",tarragon,3,tbsp,chopped
zest and juice of 1 lemon,zest and juice of 1 lemon,,,
"200 g Chantenay carrots, trimmed and halved lengthways",Chantenay carrots,200,g,trimmed and halved lengthways
"350 g new potatoes, quartered lengthways",new potatoes,350,g,quartered lengthways
