input,name,quantity,unit,preparation,comment
0.5g mint essential oil,mint essential oil,0.5,g,,
100ml/3½oz walnut oil,walnut oil,100 3.5,ml oz,,/
½ tsp Worcestershire sauce,Worcestershire sauce,0.5,tsp,,
500g/1lb 2oz beef mince,beef mince,500 1 2,g lb oz,,/
"500g/1lb 2oz baby carrots, leaf bases left on",baby carrots,500 1 2,g lb oz,,leaf bases left on /
"1 tbsp coriander, chopped (save a few pretty bits for the finished dish)",coriander,1,tbsp,chopped,(save a few pretty bits for the finished dish)
½ tsp cream of tartar,cream of tartar,0.5,tsp,,
"1 courgette, sliced into ribbons with a potato peeler",courgette,1,,sliced into ribbons with a potato peeler,
"100g/4oz cherries, quartered, washed, and dried",cherries,100 4,g oz,"quartered, washed, and dried",/
"2 very ripe Conference pears, peeled, cored and quartered",very ripe Conference pears,2,,"peeled, cored and quartered",
1 fish stock cube,fish stock cube,1,,,
500ml/18floz chicken stock,chicken stock,500 18,ml floz ,,/
1 tsp finely chopped fresh marjoram leaves,fresh marjoram leaves,1,tsp,finely chopped,
"small handful fresh basil, shredded",fresh basil,,small handful,shredded,
"1 tbsp dill, chopped",dill,1,tbsp,chopped,
"2 mackerel fillets, skin on, pin bones removed",mackerel fillets,2,,"skin on, pin bones removed",
"wild herbs, to garnish",wild herbs,,,,to garnish
"1 Granny Smith apple, cut into julienne",Granny Smith apple,1,,cut into julienne,
"110g/4oz broad beans, fresh or frozen",broad beans,110 4,g oz,,fresh or frozen /
125g/4oz demerara sugar,demerara sugar,125 4,g oz,,/
600ml/1 pint water,water,600 1,ml pint,,/
¼ tsp dried ground ginger,dried ground ginger,0.25,tsp,,
1kg/2lb 4oz chipping potatoes,chipping potatoes,1 2 4,kg lb oz,,/
60g/2¼oz walnut halves,walnut halves,60 2.25,g oz,,/
150g/5½oz fresh breadcrumbs,fresh breadcrumbs,150 5.5,g oz,,/
"250g/9oz green beans, trimmed, cut into 1.5cm/⅝in pieces",green beans,250 9,g oz,"trimmed, cut into 1.5 cm / 0.625 in pieces",/
475g/1lb 1oz currants,currants,475 1 1,g lb oz,,/
4 medium sized onions,sized onions,4,medium,,
"150ml/6floz double cream, lightly whipped, to serve",double cream,150 6,ml floz ,lightly whipped,/ to serve
75g/2¾oz pineapple into chunky pieces,pineapple,75 2.75,g oz,into chunky pieces,/
2 chunks Chinese rock sugar (available from specialist Asian grocers),Chinese rock sugar,2,chunk,,(available from specialist Asian grocers)
"2 red peppers, skinned, seeds removed",red peppers,2,,"skinned, seeds removed",
"20g/¾oz dill, fronds and stems roughly chopped",dill,20 0.75,g oz,fronds and stems roughly chopped,/
"100g/3½oz shelled peas, fresh or frozen",peas,100 3.5,g oz,shelled,fresh or frozen /
"1 red pepper, finely chopped",red pepper,1,,finely chopped,
25g/1oz light brown sugar,light brown sugar,25 1,g oz,,/
"100g/3½oz samphire, woody ends removed",samphire,100 3.5,g oz,woody ends removed,/
"pinch of ground cinnamon, to garnish",ground cinnamon,,pinch,,"of, to garnish pinch"
"15 free-range eggs, lightly beaten",free-range eggs,15,,lightly beaten,
2 poached free-range eggs,poached free-range eggs,2,,,
½ tbsp butter,butter,0.5,tbsp,,
2 tbsp chopped fresh holy basil leaves (available from some supermarkets and Asian grocers),fresh holy basil leaves,2,tbsp,chopped,(available from some supermarkets and Asian grocers)
2 tbsp capers,capers,2,tbsp,,
"½ apple, grated or finely chopped",apple,0.5,,grated or finely chopped,
"250g/9oz spring greens, finely sliced",spring greens,250 9,g oz,finely sliced,/
400g/14oz ground almonds,ground almonds,400 14,g oz,,/
4 small chicken breasts skinned and sliced into long strips,chicken breasts,4,small,skinned and sliced into long strips,
500g/1lb 2oz muscavado sugar,muscavado sugar,500 1 2,g lb oz,,/
70g/2½oz icing sugar,icing sugar,70 2.5,g oz,,/
½ tsp chopped root ginger,root ginger,0.5,tsp,chopped,
2 tbsp wholegrain mustard,wholegrain mustard,2,tbsp,,
orange food colouring,orange food colouring,,,,
"small bunch mint, (about 70g/2½oz on the stalk), leaves only, very finely chopped",mint,70 2.5,small bunch g oz,very finely chopped,"(about / on the stalk), leaves only"
½ tbsp rice wine vinegar,rice wine vinegar,0.5,tbsp,,
12g/⅓oz fast-action yeast,fast-action yeast,12 0.333,g oz,,/
10 garlic cloves,garlic,10,clove,,
3 free range eggs,free range eggs,3,,,
90ml/3½fl oz champagne,champagne,90 3.5,ml fl oz,,/
"2 x 50g/1½oz pieces salmon fillet, skinned",salmon fillet,2 x 50 1.5,piece g oz,skinned,/
"4 chicken breasts, boneless and skinless, cut into chunks","chicken breasts, boneless and skinless",4,,cut into chunks,
"½ red onion, peeled and roughly chopped",red onion,0.5,,peeled and roughly chopped,
2 tbsp orange juice (fresh or from a carton),orange juice,2,tbsp,,(fresh or from a carton)
1 tsp thick tamarind paste or lemon juice,thick tamarind paste or lemon juice,1,tsp,,
"4 duck breasts, about 175g/6oz each, skin removed",duck breasts,4 175 6,g oz,skin removed,about / each
1 tbsp grape seed oil,grape seed oil,1,tbsp,,
plain flour,plain flour,,,,
2 tbsp light soft brown sugar,light soft brown sugar,2,tbsp,,
"1 cucumber, peeled, seeded and sliced",cucumber,1,,"peeled, seeded and sliced",
150ml/6fl oz water,water,150 6,ml fl oz,,/
"2 bunches watercress leaves, washed",watercress leaves,2,bunch,washed,
"125g/4½oz salmon fillet, skin removed, sliced in half",salmon fillet,125 4.5,g oz,"skin removed, sliced in half",/
4oz (100g) light brown muscovado sugar,light brown muscovado sugar,4 100,oz g,,()
100g/4oz shredded suet,suet,100 4,g oz,shredded,/
"plain flour, for dredging",plain flour,,,,for dredging
"150g/5½oz plain chocolate, (around 35% cocoa solids), chopped",plain chocolate,150 5.5,g oz,chopped,(around 35% cocoa solids) /
120g/4oz icing sugar,icing sugar,120 4,g oz,,/
splash rice wine vinegar,splash rice wine vinegar,,,,
4 lemon wedges,lemon wedges,4,,,
"½ loaf brioche, cut into thick slices",brioche,0.5,loaf,cut into thick slices,
"knob fresh ginger, peeled and sliced",fresh ginger,,knob,peeled and sliced,
1 tbsp chopped fresh coriander stems,fresh coriander stems,1,tbsp,chopped,
120ml/4fl oz fresh ready-made custard,fresh ready-made custard,120 4,ml fl oz,,/
125g/4½ oz butter,butter,125 4.5,g oz,,/
"2-4 green chillies, whole","green chillies, whole",2-4,,,
1 tsp crushed ginger,ginger,1,tsp,crushed,
300ml/10fl oz apple juice,apple juice,300 10,ml fl oz,,/
"1 bunch Swiss chard, stems removed and roughly chopped, leaves shredded",Swiss chard,1,bunch,"stems removed and roughly chopped, leaves shredded",
half bunch fresh mint,fresh mint,half,bunch,,
150ml/¼ pint dry white wine,dry white wine,150 0.25,ml pint,,/
"½ small red chilli, finely chopped",red chilli,0.5,small,finely chopped,
4 tbsp marmalade,marmalade,4,tbsp,,
1 dessert spoon tomato purée,dessert spoon tomato purée,1,,,
1 x 1kg/2lb 3oz double lamb loin,double lamb loin,1 x 1 2 3,kg lb oz,,/
"5 Snickers bars, chopped into thin slices",Snickers bars,5,,chopped into thin slices,
pinch panch phoran (Indian spice blend),panch phoran,,pinch,,(Indian spice blend)
"½ ready-cooked chicken breast, chopped",ready-cooked chicken breast,0.5,,chopped,
3 oranges,oranges,3,,,
1 tbsp freshly grated pecorino or parmesan cheese,pecorino or parmesan cheese,1,tbsp,freshly grated,
"1 garlic bulb, cloves peeled and finely chopped",garlic,1,bulb,cloves peeled and finely chopped,
"3 x 1.2kg/2lb 12oz unsmoked ham hocks,on the bone",unsmoked ham hocks,3 x 1.2 2 12,kg lb oz,,on the bone /
"1 small head broccoli, cut into florets and blanched",broccoli,1,small head,cut into florets and blanched,
500g/1lb 2oz pecorino romano cheese (or a vegetarian alternative),pecorino romano cheese,500 1 2,g lb oz,,(or a vegetarian alternative) /
20g/1¾oz chopped fresh rosemary,fresh rosemary,20 1.75,g oz,chopped,/
100g/3½oz plain flour or strong white flour,plain flour or strong white flour,100 3.5,g oz,,/
500g/1lb 2oz canned chopped tomatoes,canned chopped tomatoes,500 1 2,g lb oz,,/
5-7 tbsp milk,milk,5-7,tbsp,,
"plain flour, seasoned with salt and freshly ground black pepper, for dusting","plain flour, black pepper",,,seasoned with salt and freshly ground,for dusting
"2.5cm/1in piece fresh root ginger, peeled and cut into fine slices, then into fine strips",fresh root ginger,2.5 1,cm in piece,"peeled and cut into fine slices, then into fine strips",/
25g/1oz duck fat,duck fat,25 1,g oz,,/
500ml/18fl oz prawn or seafood stock,prawn or seafood stock,500 18,ml fl oz,,/
"½ bunch chives, chopped (or one spring onion, finely chopped)",chives,0.5,bunch,"chopped, finely chopped",or 1 spring onion ()
"1 nectarine cut in half, stone removed",nectarine,1,,"cut in half, stone removed",
pinch caster sugar (optional),caster sugar,,pinch,,(optional)
"1 pear peeled, cored and quartered",pear,1,,"peeled, cored and quartered",
"1 passion fruit, halved",passion fruit,1,,halved,
200g/7¼oz melted unsalted butter,unsalted butter,200 7.25,g oz,melted,/
"1 whole wild sea bass (approximately 1kg/2lb 4oz), guts, gills and scales removed, fins trimmed","whole wild sea bass, guts",1 1 2 4,kg lb oz,"gills and scales removed, fins trimmed",( approximately / )
2 tbsp strong lamb or veal stock,strong lamb or veal stock,2,tbsp,,
3 tbsp cider vinegar,cider vinegar,3,tbsp,,
100g/3½oz dark chocolate buttons (minimum 70% cocoa solids),dark chocolate buttons,100 3.5,g oz,,(minimum 70% cocoa solids) /
"½ carrot, peeled and grated",carrot,0.5,,peeled and grated,
lemon curd or jam for the topping (optional),lemon curd or jam,,,,for the topping (optional)
"5-6 small dried red chillies, crumbled",dried red chillies,5-6,small,crumbled,
2 tbsp walnut pieces (optional),walnut pieces,2,tbsp,,(optional)
75g/2½oz chorizo,chorizo,75 2.5,g oz,,/
"handful mixed herbs (such as parsley, coriander, thyme), chopped",mixed herbs,,handful,chopped,"(such as parsley, coriander, thyme)"
130g/4½oz caster sugar,caster sugar,130 4.5,g oz,,/
Small bunch fresh chives,fresh chives,,Small bunch,,
125g/4½oz ginger cake,ginger cake,125 4.5,g oz,,/
160g/5½oz baby spinach leaves,baby spinach leaves,160 5.5,g oz,,/
¼ tsp rock salt,rock salt,0.25,tsp,,
75g/2½oz mayonnaise,mayonnaise,75 2.5,g oz,,/
1 tbsp yeast extract,yeast extract,1,tbsp,,
"thumb-sized piece of fresh ginger, finely shredded",fresh ginger,,thumb-sized piece,finely shredded,of
2 trout fillets,trout fillets,2,,,
"1 celeriac, approx 650g/1lb 7oz",celeriac,1 650 1 7,g lb oz,,/ approx
"1kg/2lb 4oz cooked potato, slightly mashed",potato,1 2 4,kg lb oz,"cooked, slightly mashed",/
"3 green cardamom pods, lightly crushed",green cardamom pods,3,,lightly crushed,
"2 slices ready-made bara brith, crusts removed, finely chopped",ready-made bara brith,2,slice,"crusts removed, finely chopped",
"100g/3½oz green beans, finely chopped",green beans,100 3.5,g oz,finely chopped,/
2 tsp red chilli powder,red chilli powder,2,tsp,,
edible gold leaf (optional),edible gold leaf,,,,(optional) leaf
2 fresh thyme sprigs,fresh thyme,2,sprigs,,
30g/1oz brown crabmeat,brown crabmeat,30 1,g oz,,/
"200g/7oz basmati rice, boiled for five minutes, then drained",basmati rice,200 7,g oz,"boiled for 5 minutes, then drained",/
"6 spring onions, trimmed and finely chopped",spring onions,6,,trimmed and finely chopped,
750ml/1¼ pints good-quality beef or dark-chicken stock,beef or dark-chicken stock,750 1.25,ml pint,,good-quality /
100g/3½oz fine oatmeal,fine oatmeal,100 3.5,g oz,,/
30g/1oz rice noodles,rice noodles,30 1,g oz,,/
40g/1½oz breadcrumbs,breadcrumbs,40 1.5,g oz,,/
80g/2¾oz coarse sea salt,coarse sea salt,80 2.75,g oz,,/
"28g/1oz dried ceps, soaked and drained",dried ceps,28 1,g oz,soaked and drained,/
4 tbsp coriander cress,coriander cress,4,tbsp,,
3 x 2in/5cm pieces cinnamon stick,cinnamon,3 x 2  5,piece in cm stick,,/
"1 tbsp fresh oregano, finely chopped",fresh oregano,1,tbsp,finely chopped,
50g/1¾oz sea beets,sea beets,50 1.75,g oz,,/
"2 mangos, peeled, stone removed and flesh diced",mangos,2,,"peeled, stone removed and flesh diced",
14g/½oz fresh yeast,fresh yeast,14 0.5,g oz,,/
"60g/2½oz plain flour, sieved",plain flour,60 2.5,g oz,sieved,/
"250g/9oz Blenheim Orange apples (about 5), peeled and chopped",Blenheim Orange apples,250 9 5,g oz,peeled and chopped,/ ( about )
250g/8oz readymade fondant icing,readymade fondant icing,250 8,g oz,,/
150g/5½oz lamb fillet,lamb fillet,150 5.5,g oz,,/
"100g/3½oz liver, trimmed and chopped",liver,100 3.5,g oz,trimmed and chopped,/
"2 tbsp spring onions, finely chopped",spring onions,2,tbsp,finely chopped,
12 very fine slices lotus root,lotus root,12,very fine slice,,
100ml/3½fl oz Welsh whiskey,Welsh whiskey,100 3.5,ml fl oz,,/
"3 lemons, zest and juice only",lemons,3,,,zest and juice only
125g/4oz rough sea salt crystals,rough sea salt crystals,125 4,g oz,,/
250g/9oz very soft unsalted butter,very soft unsalted butter,250 9,g oz,,/
"peach half from a can, chopped",peach half,,,chopped,from a can
"150g/5¼ oz tomatoes, chopped",tomatoes,150 5.25,g oz,chopped,/
"1-1½kg/2-3lb roasting potatoes, peeled and cut into chunks",roasting potatoes,1-1.5 2-3,kg lb,peeled and cut into chunks,/
100g/3½oz asparagus,asparagus,100 3.5,g oz,,/
1 tsp garlic paste,garlic paste,1,tsp,,
1 tbsp dried herbes de provence,dried herbes de provence,1,tbsp,,
1½ tbsp sugar,sugar,1.5,tbsp,,
"5 radishes, sliced",radishes,5,,sliced,/
"50ml/2fl oz leftover beef gravy, plus extra to serve",leftover beef gravy,50 2,ml fl oz,,plus extra to serve /
"3 tbsp syrup, from the stem ginger",syrup,3,tbsp,,from the stem ginger
200g/7oz grated cheddar,cheddar,200 7,g oz,grated,/
"4 button mushrooms, quartered",button mushrooms,4,,quartered,
2 tbsp whisky or milk,whisky or milk,2,tbsp,,
75-100ml/2½-3½fl oz vodka,vodka,75-100 2.5-3.5,ml fl oz,,/
"3 tbsp spring onions, finely shredded",spring onions,3,tbsp,finely shredded,
"1 bunch coriander, chopped",coriander,1,bunch,chopped,
4 guinea fowl breasts,guinea fowl breasts,4,,,
"1 handful of white grapes, seedless","white grapes, seedless",1,handful,,of handful
"500g/1lb 2oz red gooseberries (such as Hinnomaki), trimmed",red gooseberries,500 1 2,g lb oz,trimmed,(such as Hinnomaki) /
600ml/20fl oz cider vinegar,cider vinegar,600 20,ml fl oz,,/
custard,custard,,,,
"25g/1oz dried prunes, chopped",dried prunes,25 1,g oz,chopped,/
"75g/2½oz cooking chorizo, skin removed, chopped",cooking chorizo,75 2.5,g oz,"skin removed, chopped",/
"2 lamb shoulders, about 1.5kg/3lb 5oz each, trimmed of any surface fat",lamb shoulders,2 1.5 3,kg lb,"5 oz each, trimmed of any surface fat",about /
8 tbsp chopped fresh coriander (roots and leaves),fresh coriander,8,tbsp,chopped,(roots and leaves)
500g/1lb2oz sausage meat,sausage meat,500 1 2,g lb oz,,/
½ tsp ground nutmeg,ground nutmeg,0.5,tsp,,
10 digestive biscuits,digestive biscuits,10,,,
3 silver anchovy fillets (boquerones),silver anchovy fillets,3,,,(boquerones)
"200g/7oz field mushrooms, halved and sliced",field mushrooms,200 7,g oz,halved and sliced,/
300g/10½oz sour slaw base (from above),sour slaw base,300 10.5,g oz,,(from above) /
"4 passion fruit, pulp and seeds scooped out",passion fruit,4,,pulp and seeds scooped out,
250g/9oz couscous,couscous,250 9,g oz,,/
20g/¾oz samphire,samphire,20 0.75,g oz,,/
"2 medium onions, sliced and deep fried until golden-brown",onions,2,medium,sliced and deep fried until golden-brown,
"500ml/18fl oz stock (from a stock cube, ideally beef although chicken or vegetable is fine)",stock,500 18,ml fl oz,,"(from a stock cube, ideally beef although chicken or vegetable is fine) /"
"1 tsp fresh coriander, finely chopped",fresh coriander,1,tsp,finely chopped,
"100g/3½oz halloumi, cut into 4 slices",halloumi,100 3.5,g oz,cut into 4 slices,/
"2 handfuls coriander, roughly chopped",coriander,2,handful,roughly chopped,
"1 bunch coriander, finely chopped",coriander,1,bunch,finely chopped,
"1 chicken, preferably a stewing hen, whole or jointed",chicken,1,,,"preferably a stewing hen, whole or jointed"
2 tbsp good quality cocoa,cocoa,2,tbsp,,good quality 
"Generous pinch green and black cardamom seeds and fennel seeds, ground together",green and black cardamom seeds and fennel seeds,,Generous pinch,ground together,
"1 green and 1 yellow courgette, scooped into balls using a parisenne scoop (or dice)","green and, yellow courgette",1 1,,,scooped into balls using a parisenne scoop (or dice)
2 tbsp celery salt,celery salt,2,tbsp,,
"2 streaky bacon rashers, fried until crisp",streaky bacon rashers,2,,fried until crisp,
"few sprigs coriander, leaves picked",coriander,few,sprigs,leaves picked,
"2 ripe avocados, peeled, stone removed, cut into cubes",ripe avocados,2,,"peeled, stone removed, cut into cubes",
"125g/4½oz chilled butter, cut into cubes",butter,125 4.5,g oz,"chilled, cut into cubes",/
1 tbsp ready-made tandoori curry paste,ready-made tandoori curry paste,1,tbsp,,
"1 tbsp soy sauce, plus extra to serve",soy sauce,1,tbsp,,plus extra to serve
4 tbsp crushed honeycomb,honeycomb,4,tbsp,crushed,
300ml/10fl oz plain yoghurt,plain yoghurt,300 10,ml fl oz,,/
"2 tbsp yoghurt, to serve",yoghurt,2,tbsp,,to serve
bunch of dill crowns or dill leaves,dill crowns or dill leaves,,bunch,,of
4 tsp wholegrain mustard,wholegrain mustard,4,tsp,,
"½ cucumber, seeded and roughly chopped",cucumber,0.5,,seeded and roughly chopped,
4 star anise,star anise,4,,,
"140g/5oz watercress leaves, washed, roughly chopped",watercress leaves,140 5,g oz,"washed, roughly chopped",/
"1kg/2lb 4oz vine-ripened tomatoes, skinned, deseeded, roughly chopped",vine-ripened tomatoes,1 2 4,kg lb oz,"skinned, deseeded, roughly chopped",/
200g/7oz canned straw mushrooms,canned straw mushrooms,200 7,g oz,,/
100g/3½oz sourdough bread,sourdough bread,100 3.5,g oz,,/
"3 tsp parsley, chopped",parsley,3,tsp,chopped,
"300g/10½oz spicy chorizo, skin removed, chopped into small pieces",spicy chorizo,300 10.5,g oz,"skin removed, chopped into small pieces",/
"75g/2½oz unsalted butter, softened",unsalted butter,75 2.5,g oz,softened,/
1-2 tbsp extra virgin olive oil,extra virgin olive oil,1-2,tbsp,,
6 tbsp cold water,water,6,tbsp,cold,
30-40 cherry tomatoes,cherry tomatoes,30-40,,,
"200g/7oz wild mushrooms, cleaned",wild mushrooms,200 7,g oz,cleaned,/
yellow food colouring gel,yellow food colouring gel,,,,
"6 tomatoes on the vine, halved widthways",tomatoes,6,,halved widthways,on the vine
1 tbsp flour,flour,1,tbsp,,
6cm/2½in piece cinnamon stick,cinnamon stick,6 2.5,cm in piece,,/
3 tbsp cherry liqueur or Cointreau,cherry liqueur or Cointreau,3,tbsp,,
"500ml/18fl oz sunflower or groundnut oil, for frying",sunflower or groundnut oil,500 18,ml fl oz,,for frying /
"3 large potatoes, chopped into cubes",potatoes,3,large,chopped into cubes,
"6 baby artichokes, peeled and choke removed, sliced",baby artichokes,6,,"peeled and choke removed, sliced",
"4 slices brioche, toasted and buttered",brioche,4,slice,toasted and buttered,
"½ vanilla pod, split lengthways","vanilla pod, split lengthways",0.5,,,
"3 carrots, shredded or sliced",carrots,3,,shredded or sliced,
1 level dessertspoon golden caster sugar,golden caster sugar,1,level dessertspoon,,
"400ml/14fl oz vegetable oil, for deep frying",vegetable oil,400 14,ml fl oz,,for deep frying /
1 tbsp of balsamic vinegar,balsamic vinegar,1,tbsp,,of
"110g/4oz button mushrooms, quartered",button mushrooms,110 4,g oz,quartered,/
"6-12 fresh red chillies, depending on how hot you want it",fresh red chillies,6-12,,,depending on how hot you want it
1 tbsp ketchup,ketchup,1,tbsp,,
small bunch fresh thyme,fresh thyme,,small bunch,,
170g/6oz cooked rhubarb,rhubarb,170 6,g oz,cooked,/
75g/2¾oz ready-made lemon curd,ready-made lemon curd,75 2.75,g oz,,/
"2 cloves garlic, unpeeled and lightly crushed",garlic,2,clove,unpeeled and lightly crushed,
1 x 400ml/14fl oz can coconut milk,coconut milk,1 x 400 14,ml fl oz can,,/
50ml/2fl oz dark rum,dark rum,50 2,ml fl oz,,/
"2 limes, quartered, to serve",limes,2,,quartered,to serve
75g/3oz natural yoghurt,natural yoghurt,75 3,g oz,,/
8 tbsp rice flour (substitute potato flour or cornflour if desired),rice flour,8,tbsp,,(substitute potato flour or cornflour if desired)
handful fresh coriander leaves (optional),fresh coriander leaves,,handful,,(optional)
16 trifle sponges,trifle sponges,16,,,
170g/6oz caster sugar,caster sugar,170 6,g oz,,/
3 large free-range eggs,free-range eggs,3,large,,
"¼ savoy cabbage, sliced and blanched",savoy cabbage,0.25,,sliced and blanched,
"100g/3½oz apricots, chopped",apricots,100 3.5,g oz,chopped,/
2 drops lemon extract,lemon extract,2,drop,,
135ml/4½fl oz whole milk,whole milk,135 4.5,ml fl oz,,/
large handful fresh watercress,fresh watercress,,large handful,,
90g/3¼oz dairy-free butter (such as sunflower spread),dairy-free butter,90 3.25,g oz,,(such as sunflower spread) /
"2 limes, cut into quarters, to garnish",limes,2,,cut into quarters,to garnish
a lightly heaped teaspoon Chinese five-spice powder,Chinese 5 spice powder,,teaspoon,,a lightly heaped
"seasonal vegetables, blanched, such as new carrots, lettuce, broad beans and girolle mushrooms","seasonal vegetables, lettuce",,,blanched,"such as new carrots, broad beans and girolle mushrooms"
310g/11oz blueberries,blueberries,310 11,g oz,,/
"1 x 2kg/4½lb well-hung boneless beef sirloin, not rolled (weight after bone removed)",well-hung boneless beef sirloin,1 x 2 4.5,kg lb,,not rolled (weight after bone removed) /
"4 Peshawari naan, to serve",Peshawari naan,4,,,to serve
"75g/2½oz fresh basil, reserve a few leaves to garnish",fresh basil,75 2.5,g oz,,reserve a few leaves to garnish /
"1 red pepper, cut into triangles",red pepper,1,,cut into triangles,
"1 carrot, finely grated",carrot,1,,finely grated,
3 Seville oranges,Seville oranges,3,,,
"450g/1lb rhubarb, half roughly chopped and half cut into 2.5cm/1in batons",rhubarb,450 1,g lb,half roughly chopped and half cut into 2.5 cm / 1 in batons,/
180g/6oz caster sugar,caster sugar,180 6,g oz,,/
500g/1lb 2oz jam sugar,jam sugar,500 1 2,g lb oz,,/
"400g/14oz new potatoes, cut into cubes and boiled until tender",new potatoes,400 14,g oz,cut into cubes and boiled until tender,/
"½ fennel, finely chopped",fennel,0.5,,finely chopped,
1 x 400/14oz jar sun-dried tomatoes in oil,sun-dried tomatoes in oil,1 x 28.571,oz jars,,
"2 carrots, cut into 1cm/½in slices",carrots,2,,cut into 1 cm / 0.5 in slices,
"2 sirloin, rump or rib eye steaks, about 200g each",sirloin,2 200,g,,"rump or rib eye steaks, about each"
"1 green chilli, seeds removed",green chilli,1,,seeds removed,
18 ripe plum tomatoes,ripe plum tomatoes,18,,,
"1 portion summer leaves (eg, rocket, sorrel, dandelion leaf, red chard leaf)",summer leaves,1,portion,,"(eg, rocket, sorrel, dandelion leaf, red chard leaf)"
fresh parsley sprigs,fresh parsley,,sprig,,
75g/2½oz coffee beans,coffee beans,75 2.5,g oz,,/
"1 mango, peeled, stone removed and flesh cut into long slices",mango,1,,"peeled, stone removed and flesh cut into long slices",
50g/2oz dried apricots,dried apricots,50 2,g oz,,/
115g/4oz fregola,fregola,115 4,g oz,,/
"2 tsp cornflour, blended to a paste with a little water",cornflour,2,tsp,blended to a paste with a little water,
"½ tsp pink peppercorns, crushed",pink peppercorns,0.5,tsp,crushed,
165g/5¾oz sugar,sugar,165 5.75,g oz,,/
"1 portobello mushroom, chopped",portobello mushroom,1,,chopped,
"¼ scotch bonnet chilli, finely chopped",scotch bonnet chilli,0.25,,finely chopped,
400g/14oz Sardinian gnocchetti (or pasta of your choice),Sardinian gnocchetti,400 14,g oz,,(or pasta of your choice) /
250ml/9fl oz red wine vinegar,red wine vinegar,250 9,ml fl oz,,/
