input,name,quantity,unit,size,preparation,comment,purpose
130g/4½oz caster sugar,caster sugar,130 4#1$2,g oz,,,,
Small bunch fresh chives,fresh chives,,Small bunch,,,,
125g/4½oz ginger cake,ginger cake,125 4#1$2,g oz,,,,
160g/5½oz baby spinach leaves,baby spinach leaf,160 5#1$2,g oz,,,,
¼ tsp rock salt,rock salt,#1$4,tsp,,,,
75g/2½oz mayonnaise,mayonnaise,75 2#1$2,g oz,,,,
1 tbsp yeast extract,yeast extract,1,tbsp,,,,
"thumb-sized piece of fresh ginger, finely shredded",fresh ginger,,thumb-sized piece,,finely shredded,of,
2 trout fillets,trout fillets,2,,,,,
"1 celeriac, approx 650g/1lb 7oz",celeriac,1 650 1 7,g lb oz,,,approx,
"1kg/2lb 4oz cooked potato, slightly mashed",potato,1 2 4,kg lb oz,,cooked slightly mashed,,
"3 green cardamom pods, lightly crushed",green cardamom pod,3,,,lightly crushed,,
"2 slices ready-made bara brith, crusts removed, finely chopped",ready-made bara brith,2,slice,,crusts removed finely chopped,,
"100g/3½oz green beans, finely chopped",green beans,100 3#1$2,g oz,,finely chopped,,
2 tsp red chilli powder,red chilli powder,2,tsp,,,,
edible gold leaf (optional),edible gold leaf,,,,,optional,
2 fresh thyme sprigs,fresh thyme,2,sprig,,,,
30g/1oz brown crabmeat,brown crabmeat,30 1,g oz,,,,
"200g/7oz basmati rice, boiled for five minutes, then drained",basmati rice,200 7,g oz,,boiled for five minutes then drained,,
"6 spring onions, trimmed and finely chopped",spring onions,6,,,trimmed and finely chopped,,
750ml/1¼ pints good-quality beef or dark-chicken stock,good-quality beef or dark-chicken stock,750 1#1$4,ml pint,,,,
100g/3½oz fine oatmeal,fine oatmeal,100 3#1$2,g oz,,,,
30g/1oz rice noodles,rice noodles,30 1,g oz,,,,
40g/1½oz breadcrumbs,breadcrumbs,40 1#1$2,g oz,,,,
80g/2¾oz coarse sea salt,coarse sea salt,80 2#3$4,g oz,,,,
"28g/1oz dried ceps, soaked and drained",dried ceps,28 1,g oz,,soaked and drained,,
4 tbsp coriander cress,coriander cress,4,tbsp,,,,
3 x 2in/5cm pieces cinnamon stick,cinnamon stick,3x 2 5,in cm piece,,,,
"1 tbsp fresh oregano, finely chopped",fresh oregano,1,tbsp,,finely chopped,,
50g/1¾oz sea beets,sea beets,50 1#3$4,g oz,,,,
"2 mangos, peeled, stone removed and flesh diced",mangos,2,,,peeled stone removed and flesh diced,,
14g/½oz fresh yeast,fresh yeast,14 #1$2,g oz,,,,
"60g/2½oz plain flour, sieved",plain flour,60 2#1$2,g oz,,sieved,,
"250g/9oz Blenheim Orange apples (about 5), peeled and chopped",Blenheim Orange apples,250 9 5,g oz,,peeled and chopped,about,
250g/8oz readymade fondant icing,readymade fondant icing,250 8,g oz,,,,
150g/5½oz lamb fillet,lamb fillet,150 5#1$2,g oz,,,,
"100g/3½oz liver, trimmed and chopped",liver,100 3#1$2,g oz,,trimmed and chopped,,
"2 tbsp spring onions, finely chopped",spring onions,2,tbsp,,finely chopped,,
12 very fine slices lotus root,lotus root,12,very fine slice,,,,
100ml/3½fl oz Welsh whiskey,Welsh whiskey,100 3#1$2,ml fl oz,,,,
"3 lemons, zest and juice only",lemons,3,,,zest and juice only,,
125g/4oz rough sea salt crystals,rough sea salt crystals,125 4,g oz,,,,
250g/9oz very soft unsalted butter,very soft unsalted butter,250 9,g oz,,,,
"peach half from a can, chopped",peach half from a can,,,,chopped,,
"150g/5¼ oz tomatoes, chopped",tomatoes,150 5#1$4,g oz,,chopped,,
"1-1½kg/2-3lb roasting potatoes, peeled and cut into chunks",roasting potatoes,1-1#1$2 2-3,kg lb,,peeled and cut into chunk,,
100g/3½oz asparagus,asparagus,100 3#1$2,g oz,,,,
1 tsp garlic paste,garlic paste,1,tsp,,,,
1 tbsp dried herbes de provence,dried herbes de provence,1,tbsp,,,,
1½ tbsp sugar,sugar,1#1$2,tbsp,,,,
"5 radishes, sliced",radishes,5,,,sliced,,
"50ml/2fl oz leftover beef gravy, plus extra to serve",leftover beef gravy,50 2,ml fl oz,,,plus extra to serve,
"3 tbsp syrup, from the stem ginger",syrup,3,tbsp,,,from the stem ginger,
200g/7oz grated cheddar,cheddar,200 7,g oz,,grated,,
"4 button mushrooms, quartered",button mushrooms,4,,,quartered,,
2 tbsp whisky or milk,whisky or milk,2,tbsp,,,,
75-100ml/2½-3½fl oz vodka,vodka,75-100 2#1$2-3#1$2,ml fl oz,,,,
"3 tbsp spring onions, finely shredded",spring onions,3,tbsp,,finely shredded,,
"1 bunch coriander, chopped",coriander,1,bunch,,chopped,,
4 guinea fowl breasts,guinea fowl breasts,4,,,,,
"1 handful of white grapes, seedless",white grapes,1,handful,,,of seedless,
"500g/1lb 2oz red gooseberries (such as Hinnomaki), trimmed",red gooseberries,500 1 2,g lb oz,,trimmed,such as Hinnomaki,
600ml/20fl oz cider vinegar,cider vinegar,600 20,ml fl oz,,,,
custard,custard,,,,,,
"25g/1oz dried prunes, chopped",dried prunes,25 1,g oz,,chopped,,
"75g/2½oz cooking chorizo, skin removed, chopped",cooking chorizo,75 2#1$2,g oz,,skin removed chopped,,
"2 lamb shoulders, about 1.5kg/3lb 5oz each, trimmed of any surface fat",lamb shoulders,2 1.5 3,kg lb,,5 oz each trimmed of any surface fat,about,
8 tbsp chopped fresh coriander (roots and leaves),fresh coriander,8,tbsp,,chopped,roots and leaf,
500g/1lb2oz sausage meat,sausage meat,500 1 2,g lb oz,,,,
½ tsp ground nutmeg,ground nutmeg,#1$2,tsp,,,,
10 digestive biscuits,digestive biscuits,10,,,,,
3 silver anchovy fillets (boquerones),silver anchovy fillets boquerones,3,,,,,
"200g/7oz field mushrooms, halved and sliced",field mushrooms,200 7,g oz,,halved and sliced,,
300g/10½oz sour slaw base (from above),sour slaw base,300 10#1$2,g oz,,,from above,
"4 passion fruit, pulp and seeds scooped out",passion fruit,4,,,pulp and seeds scooped out,,
250g/9oz couscous,couscous,250 9,g oz,,,,
20g/¾oz samphire,samphire,20 #3$4,g oz,,,,
"2 medium onions, sliced and deep fried until golden-brown",onions,2,,medium,sliced and deep fried until golden-brown,,
"500ml/18fl oz stock (from a stock cube, ideally beef although chicken or vegetable is fine)",stock,500 18,ml fl oz,,,from a stock cube ideally beef although chicken or vegetable is fine,
"1 tsp fresh coriander, finely chopped",fresh coriander,1,tsp,,finely chopped,,
"100g/3½oz halloumi, cut into 4 slices",halloumi,100 3#1$2,g oz,,cut into 4 slice,,
"2 handfuls coriander, roughly chopped",coriander,2,handful,,roughly chopped,,
"1 bunch coriander, finely chopped",coriander,1,bunch,,finely chopped,,
"1 chicken, preferably a stewing hen, whole or jointed",chicken,1,,,,preferably a stewing hen whole or jointed,
2 tbsp good quality cocoa,good quality cocoa,2,tbsp,,,,
"Generous pinch green and black cardamom seeds and fennel seeds, ground together",green and black cardamom seeds and fennel seeds,,Generous pinch,,ground together,,
"1 green and 1 yellow courgette, scooped into balls using a parisenne scoop (or dice)",green and yellow courgette,1 1,,,scooped into ball using a parisenne scoop,or dice,
2 tbsp celery salt,celery salt,2,tbsp,,,,
"2 streaky bacon rashers, fried until crisp",streaky bacon rasher,2,,,fried until crisp,,
"few sprigs coriander, leaves picked",coriander,few,sprig,,leaf picked,,
"2 ripe avocados, peeled, stone removed, cut into cubes",ripe avocados,2,,,peeled stone removed cut into cube,,
"125g/4½oz chilled butter, cut into cubes",butter,125 4#1$2,g oz,,chilled cut into cube,,
1 tbsp ready-made tandoori curry paste,ready-made tandoori curry paste,1,tbsp,,,,
"1 tbsp soy sauce, plus extra to serve",soy sauce,1,tbsp,,,plus extra to serve,
4 tbsp crushed honeycomb,honeycomb,4,tbsp,,crushed,,
300ml/10fl oz plain yoghurt,plain yoghurt,300 10,ml fl oz,,,,
"2 tbsp yoghurt, to serve",yoghurt,2,tbsp,,,,to serve
bunch of dill crowns or dill leaves,dill crowns or dill leaf,,bunch,,,of,
4 tsp wholegrain mustard,wholegrain mustard,4,tsp,,,,
"½ cucumber, seeded and roughly chopped",cucumber,#1$2,,,seeded and roughly chopped,,
4 star anise,star anise,4,,,,,
"140g/5oz watercress leaves, washed, roughly chopped",watercress leaf,140 5,g oz,,washed roughly chopped,,
"1kg/2lb 4oz vine-ripened tomatoes, skinned, deseeded, roughly chopped",vine-ripened tomatoes,1 2 4,kg lb oz,,skinned deseeded roughly chopped,,
200g/7oz canned straw mushrooms,canned straw mushrooms,200 7,g oz,,,,
100g/3½oz sourdough bread,sourdough bread,100 3#1$2,g oz,,,,
"3 tsp parsley, chopped",parsley,3,tsp,,chopped,,
"300g/10½oz spicy chorizo, skin removed, chopped into small pieces",spicy chorizo,300 10#1$2,g oz,,skin removed chopped into small piece,,
"75g/2½oz unsalted butter, softened",unsalted butter,75 2#1$2,g oz,,softened,,
1-2 tbsp extra virgin olive oil,extra virgin olive oil,1-2,tbsp,,,,
6 tbsp cold water,cold water,6,tbsp,,,,
30-40 cherry tomatoes,cherry tomatoes,30-40,,,,,
"200g/7oz wild mushrooms, cleaned",wild mushrooms,200 7,g oz,,cleaned,,
yellow food colouring gel,yellow food colouring gel,,,,,,
"6 tomatoes on the vine, halved widthways",tomatoes on the vine,6,,,halved widthways,,
1 tbsp flour,flour,1,tbsp,,,,
6cm/2½in piece cinnamon stick,cinnamon stick,6 2#1$2,cm in piece,,,,
3 tbsp cherry liqueur or Cointreau,cherry liqueur or Cointreau,3,tbsp,,,,
"500ml/18fl oz sunflower or groundnut oil, for frying",sunflower or groundnut oil,500 18,ml fl oz,,,,for frying
"3 large potatoes, chopped into cubes",potatoes,3,,large,chopped into cube,,
"6 baby artichokes, peeled and choke removed, sliced",baby artichokes,6,,,peeled and choke removed sliced,,
"4 slices brioche, toasted and buttered",brioche,4,slice,,toasted and buttered,,
"½ vanilla pod, split lengthways",vanilla pod,#1$2,,,split lengthways,,
"3 carrots, shredded or sliced",carrots,3,,,shredded or sliced,,
1 level dessertspoon golden caster sugar,golden caster sugar,1,level dessertspoon,,,,
"400ml/14fl oz vegetable oil, for deep frying",vegetable oil,400 14,ml fl oz,,,,for deep frying
1 tbsp of balsamic vinegar,balsamic vinegar,1,tbsp,,,of,
"110g/4oz button mushrooms, quartered",button mushrooms,110 4,g oz,,quartered,,
"6-12 fresh red chillies, depending on how hot you want it",fresh red chillies,6-12,,,,depending on how hot you want it,
1 tbsp ketchup,ketchup,1,tbsp,,,,
small bunch fresh thyme,fresh thyme,,small bunch,,,,
170g/6oz cooked rhubarb,rhubarb,170 6,g oz,,cooked,,
75g/2¾oz ready-made lemon curd,ready-made lemon curd,75 2#3$4,g oz,,,,
"2 cloves garlic, unpeeled and lightly crushed",garlic,2,clove,,unpeeled and lightly crushed,,
1 x 400ml/14fl oz can coconut milk,coconut milk,1x 400 14,ml fl oz can,,,,
50ml/2fl oz dark rum,dark rum,50 2,ml fl oz,,,,
"2 limes, quartered, to serve",limes,2,,,quartered,,to serve
75g/3oz natural yoghurt,natural yoghurt,75 3,g oz,,,,
8 tbsp rice flour (substitute potato flour or cornflour if desired),rice flour,8,tbsp,,,substitute potato flour or cornflour if desired,
handful fresh coriander leaves (optional),fresh coriander leaf,,handful,,,optional,
16 trifle sponges,trifle sponges,16,,,,,
170g/6oz caster sugar,caster sugar,170 6,g oz,,,,
3 large free-range eggs,free-range eggs,3,,large,,,
"¼ savoy cabbage, sliced and blanched",savoy cabbage,#1$4,,,sliced and blanched,,
"100g/3½oz apricots, chopped",apricots,100 3#1$2,g oz,,chopped,,
2 drops lemon extract,lemon extract,2,drop,,,,
135ml/4½fl oz whole milk,whole milk,135 4#1$2,ml fl oz,,,,
large handful fresh watercress,fresh watercress,,large handful,,,,
90g/3¼oz dairy-free butter (such as sunflower spread),dairy-free butter,90 3#1$4,g oz,,,such as sunflower spread,
"2 limes, cut into quarters, to garnish",limes,2,,,cut into quarters,,to garnish
a lightly heaped teaspoon Chinese five-spice powder,Chinese five-spice powder,,teaspoon,,,a lightly heaped,
"seasonal vegetables, blanched, such as new carrots, lettuce, broad beans and girolle mushrooms",seasonal vegetables,,,,blanched,such as new carrots lettuce broad beans and girolle mushrooms,
310g/11oz blueberries,blueberries,310 11,g oz,,,,
"1 x 2kg/4½lb well-hung boneless beef sirloin, not rolled (weight after bone removed)",well-hung boneless beef sirloin,1x 2 4#1$2,kg lb,,,not rolled weight after bone removed,
"4 Peshawari naan, to serve",Peshawari naan,4,,,,,to serve
"75g/2½oz fresh basil, reserve a few leaves to garnish",fresh basil,75 2#1$2,g oz,,reserve a few leaf to garnish,,
"1 red pepper, cut into triangles",red pepper,1,,,cut into triangles,,
"1 carrot, finely grated",carrot,1,,,finely grated,,
3 Seville oranges,Seville oranges,3,,,,,
"450g/1lb rhubarb, half roughly chopped and half cut into 2.5cm/1in batons",rhubarb,450 1,g lb,,half roughly chopped and half cut into 2.5 cm 1 in batons,,
180g/6oz caster sugar,caster sugar,180 6,g oz,,,,
500g/1lb 2oz jam sugar,jam sugar,500 1 2,g lb oz,,,,
"400g/14oz new potatoes, cut into cubes and boiled until tender",new potatoes,400 14,g oz,,cut into cube and boiled until tender,,
"½ fennel, finely chopped",fennel,#1$2,,,finely chopped,,
1 x 400/14oz jar sun-dried tomatoes in oil,sun-dried tomatoes in oil,1x #400$14,oz jar,,,,
"2 carrots, cut into 1cm/½in slices",carrots,2,,,cut into 1 cm #1$2 in slice,,
"2 sirloin, rump or rib eye steaks, about 200g each",sirloin rump or rib eye steaks,2 200,g,,,about each,
"1 green chilli, seeds removed",green chilli,1,,,seeds removed,,
18 ripe plum tomatoes,ripe plum tomatoes,18,,,,,
