Input,quantity,unit,item,comment
"180 ml unsweetened plant-based yogurt, we used soy",180,ml,unsweetened plant-based yogurt,we used soy
75 ml olive oil,75,ml,olive oil,
0.5 mug rice,0.5,mug,rice,
"6 mushrooms, sliced",6,,mushrooms,sliced
3 cups powdered sugar,3,cups,powdered sugar,
1 tsp dashi or water,1,tsp,dashi or water,
1 tsp turmeric,1,tsp,turmeric,
"4 whole roasted red bell peppers, homemade or jarred see note above on how to make at home",4,,whole roasted red bell peppers,homemade or jarred see note above on how to make at home
25 g butter,25,g,butter,
"1x 200 g bag raw peeled prawns, preferably unfrozen",1x,200 g bag,raw peeled prawns,preferably unfrozen
"2-3 slices deli ham, cut into &frac12;-inch pieces",2-3,slices,deli ham,cut into &frac12;-inch pieces
1 tsp vegetable or sunflower oil,1,tsp,vegetable or sunflower oil,
1 cup mayonnaise,1,cup,mayonnaise,
50 ml dry white wine,50,ml,dry white wine,
"1 large sweet red pepper, cored, deveined and coarsely chopped",1,large,sweet red pepper,"cored, deveined and coarsely chopped"
"2 sticks celery, chopped",2,sticks,celery,chopped
"2 small aubergines, cut into chunks, about 5 x 2 cm (420 g)",2,small,aubergines,"cut into chunks, about 5 x 2 cm (420 g)"
2 tsp clear honey,2,tsp,clear honey,
600 ml pineapple juice,600,ml,pineapple juice,
"2 peppers (1 red, 1 yellow) , deseeded and thickly sliced",2,,"peppers (1 red, 1 yellow) ",deseeded and thickly sliced
3 tbsp soy sauce,3,tbsp,soy sauce,
2 tbsp maple syrup,2,tbsp,maple syrup,
2 tbsp sunflower oil or rapeseed oil,2,tbsp,sunflower oil or rapeseed oil,
15 ml light soy sauce,15,ml,light soy sauce,
0.5 tsp turmeric,0.5,tsp,turmeric,
1 reduced salt vegetable stock cube,1,,reduced salt vegetable stock cube,
200 g low-fat natural yogurt,200,g,low-fat natural yogurt,
"1 yellow pepper, chopped",1,,yellow pepper,chopped
0.5 cup cilantro leaves with tender stems,0.5,cup,cilantro leaves with tender stems,
1 tbsp Thai green curry paste,1,tbsp,Thai green curry paste,
"1x 400 g tin kidney beans, drained",1x,400 g tin,kidney beans,drained
zest 1 lemon,,,zest 1 lemon,
0.5 tsp hot chilli powder,0.5,tsp,hot chilli powder,
black pepper,,,black pepper,
salt and pepper,,,salt and pepper,
1 tsp paprika,1,tsp,paprika,
25 g unsalted butter,25,g,unsalted butter,
"oil, for spraying",,,oil,for spraying
1 tbsp chopped coriander,1,tbsp,chopped coriander,
"2x 400 g tins cannellini beans, rinsed and drained",2x,400 g tins,cannellini beans,rinsed and drained
"200 g cooked chicken breast, shredded",200,g,cooked chicken breast,shredded
"grated Parmesan, to serve (optional)",,,grated Parmesan,to serve (optional)
0.5 tsp garam masala,0.5,tsp,garam masala,
"6 tbsp piri-piri marinade (you can buy mild, medium or hot)",6,tbsp,"piri-piri marinade (you can buy mild, medium or hot)",
4 tbsp tomato purée,4,tbsp,tomato purée,
red chilli,,,red chilli,
150 g fat-free natural yogurt,150,g,fat-free natural yogurt,
1 l chicken stock,1,l,chicken stock,
6 spring onions,6,,spring onions,
0.5 tsp nigella seeds,0.5,tsp,nigella seeds,
2 tbsp tomato puree,2,tbsp,tomato puree,
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"1 tsp fresh thyme, chopped",1,tsp,fresh thyme,chopped
350 g fusilli bucati (or fusilli),350,g,fusilli bucati (or fusilli),
225 g long grain rice,225,g,long grain rice,
"4 pak choi, sliced",4,,pak choi,sliced
"4 chicken breasts, sliced in half lengthwise",4,,chicken breasts,sliced in half lengthwise
2 cups shredded cheddar cheese,2,cups,shredded cheddar cheese,
400 ml thick and creamy coconut milk,400,ml,thick and creamy coconut milk,
50 g unsalted butter,50,g,unsalted butter,
0.5 chicken stock cube,0.5,,chicken stock cube,
4 tsp chilli sauce (we used sriracha),4,tsp,chilli sauce (we used sriracha),
1 tbsp olive oil,1,tbsp,olive oil,
2 tsp smoked paprika,2,tsp,smoked paprika,
1 tbsp sunflower oil,1,tbsp,sunflower oil,
1 tsp dried oregano,1,tsp,dried oregano,
45 g unsalted butter,45,g,unsalted butter,
0.75 tbsp tomato paste,0.75,tbsp,tomato paste,
350 g pasta quills or shells,350,g,pasta quills or shells,
150 ml milk,150,ml,milk,
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
1x 400 g of chopped tomatoes,1x,400 g ,of chopped tomatoes,
"2 onions, chopped",2,,onions,chopped
"400 g tomatoes, half cherry or baby plum, any larger ones halved",400,g,tomatoes,"half cherry or baby plum, any larger ones halved"
smoked paprika,,,smoked paprika,
0.5 tsp chilli flakes,0.5,tsp,chilli flakes,
2 tbsp olive oil,2,tbsp,olive oil,
"0.5 cucumber,",0.5,,cucumber, 
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"lime wedges, for serving",,,lime wedges,for serving
"300 g plain dried couscous, to serve",300,g,plain dried couscous,to serve
2 tbsp toasted sesame oil,2,tbsp,toasted sesame oil,
1x 100 g bag baby leaf spinach,1x,100 g bag,baby leaf spinach,
1 tbsp honey,1,tbsp,honey,
"2 tbsp olive oil, plus extra to rub on the potatoes",2,tbsp,olive oil,plus extra to rub on the potatoes
150 g baby button chestnut mushrooms,150,g,baby button chestnut mushrooms,
150 g smarties,150,g,smarties,
1 tbsp olive oil,1,tbsp,olive oil,
"5 g fresh ginger, peeled and finely chopped",5,g,fresh ginger,peeled and finely chopped
0.5 mug water,0.5,mug,water,
2 tbsp Malibu (or &frac12; tbsp white rum),2,tbsp,Malibu (or &frac12; tbsp white rum),
"2 onions, thickly sliced",2,,onions,thickly sliced
3 tbsp tomato paste,3,tbsp,tomato paste,
2 tbsp finely chopped ginger,2,tbsp,finely chopped ginger,
5 rashers streaky bacon,5,rashers,streaky bacon,
1 tsp black cumin seeds (shah zeera) or regular cumin seeds,1,tsp,black cumin seeds (shah zeera) or regular cumin seeds,
"1x 30 g pack flat-leaf parsley, finely chopped",1x,30 g pack,flat-leaf parsley,finely chopped
0.5 tsp cinnamon,0.5,tsp,cinnamon,
2 tbsp freshly chopped basil,2,tbsp,freshly chopped basil,
25 g tomato puree,25,g,tomato puree,
0.5 tsp dried oregano,0.5,tsp,dried oregano,
"50 g Parmesan, grated",50,g,Parmesan,grated
salt,,,salt,
"1 Little Gem lettuce heart, shredded",1,,Little Gem lettuce heart,shredded
"fresh parsley, to serve (optional)",,,fresh parsley,to serve (optional)
pinch saffron strands,,pinch,saffron strands,
"1 ripe avocado, stoned",1,,ripe avocado,stoned
300 g long grain rice,300,g,long grain rice,
Sea salt,,,Sea salt,
1 tsp ground cumin,1,tsp,ground cumin,
"1 tbsp capers, roughly chopped",1,tbsp,capers,roughly chopped
2 tsp cornstarch,2,tsp,cornstarch,
1 tbsp medium curry powder,1,tbsp,medium curry powder,
"2 medium sized chorizo sausages, cut into thin slices",2,medium,sized chorizo sausages,cut into thin slices
"grated parmesan and small bunch parsley, leaves roughly chopped, to serve",,,grated parmesan and small bunch parsley,"leaves roughly chopped, to serve"
1 tbsp wine vinegar,1,tbsp,wine vinegar,
"3 spring onions, sliced lengthways",3,,spring onions,sliced lengthways
1 tbsp chopped mint leaves,1,tbsp,chopped mint leaves,
1.5 cups grated Cheddar,1.5,cups,grated Cheddar,
"thumb-sized piece ginger, peeled and finely chopped",,thumb-sized piece,ginger,peeled and finely chopped
100 g fresh spinach,100,g,fresh spinach,
1 tsp soy sauce,1,tsp,soy sauce,
2 tsp ground cumin,2,tsp,ground cumin,
1 tsp cumin,1,tsp,cumin,
1 tbsp plain flour,1,tbsp,plain flour,
"250 g pork fillet, trimmed and cut into stips",250,g,pork fillet,trimmed and cut into stips
1 tbsp olive oil,1,tbsp,olive oil,
"2 onions, chopped",2,,onions,chopped
"200 g lean bacon joint, cooked, chopped into small pieces",200,g,lean bacon joint,"cooked, chopped into small pieces"
salt and pepper,,,salt and pepper,
120 ml olive oil,120,ml,olive oil,
1 tsp ground cumin,1,tsp,ground cumin,
750 g new potatoes,750,g,new potatoes,
300 g raw shelled tiger prawns,300,g,raw shelled tiger prawns,
finely grated zest and juice 1 lemon,,,finely grated zest and juice 1 lemon,
3 chicken breasts,3,,chicken breasts,
8 chicken drumsticks,8,,chicken drumsticks,
"1 preserved lemon, finely shredded or chopped",1,,preserved lemon,finely shredded or chopped
100 g pitted black kalamata olive,100,g,pitted black kalamata olive,
"1-2 jalapeno peppers, minced, plus slices to garnish",1-2,,jalapeno peppers,"minced, plus slices to garnish"
juice and zest of 1 lemon,,,juice and zest of 1 lemon,
"120 ml pineapple juice, from a can of pineapple chunks",120,ml,pineapple juice,from a can of pineapple chunks
oil to fry,,,oil to fry,
2 tbsp chopped coriander leaves,2,tbsp,chopped coriander leaves,
"1 bulb fennel, trimmed and diced",1,bulb,fennel,trimmed and diced
"2 cloves garlic, peeled",2,cloves,garlic,peeled
2 tsp tahini,2,tsp,tahini,
2 tsp olive oil,2,tsp,olive oil,
"handful of flat-leaf parsley, roughly chopped",,,handful of flat-leaf parsley,roughly chopped
600 g creme fraiche,600,g,creme fraiche,
1 tsp dried oregano,1,tsp,dried oregano,
"small handful coriander, roughly chopped",,small handful,coriander,roughly chopped
5 cardamom pods,5,,cardamom pods,
1 tbsp toasted sesame oil,1,tbsp,toasted sesame oil,
2 tbsp freshly chopped dill,2,tbsp,freshly chopped dill,
boiled basmati rice,,,boiled basmati rice,
"1 onion, sliced",1,,onion,sliced
1 tbsp olive oil,1,tbsp,olive oil,
juice of lemon,,,juice of lemon,
1 tsp vegetable,1,tsp,vegetable,
1 tbsp olive oil,1,tbsp,olive oil,
1 tbsp olive oil,1,tbsp,olive oil,
1 tbsp freshly chopped basil,1,tbsp,freshly chopped basil,
"handful fresh parsley, finely chopped",,handful,fresh parsley,finely chopped
1-2 red chillis,1-2,,red chillis,
"3 banana shallots, thinly sliced (180 g)",3,,banana shallots,thinly sliced (180 g)
knob of ginger,,,knob of ginger,
juice of 1 lime,,,juice of 1 lime,
2 tsp grated fresh ginger,2,tsp,grated fresh ginger,
1 chicken stock cube,1,,chicken stock cube,
juice 1 lemon,,,juice 1 lemon,
naan breads,,,naan breads,
2 clove garlic,2,clove,garlic,
0.5 cup mayonnaise,0.5,cup,mayonnaise,
2 tsp golden caster sugar,2,tsp,golden caster sugar,
garlic,,,garlic,
"1-2 jalapeno or serrano peppers, seeded if you like minced",1-2,,jalapeno or serrano peppers,seeded if you like  minced
2 tbsp freshly grated ginger,2,tbsp,freshly grated ginger,
"thumb-sized piece ginger, grated",,thumb-sized piece,ginger,grated
50 g couscous,50,g,couscous,
1.4 l hot vegetable stock,1.4,l,hot vegetable stock,
"1 onion, finely chopped",1,,onion,finely chopped
"6 spring onions, sliced diagonally",6,,spring onions,sliced diagonally
handful salad leaves,,,handful salad leaves,
handful basil leaves,,handful,basil leaves,
sea salt flakes,,,sea salt flakes,
2x 400 g tins chopped tomatoes,2x,400 g tins,chopped tomatoes,
pinch of salt,,,pinch of salt,
0.5 tsp salt,0.5,tsp,salt,
"300 g mushrooms, quartered",300,g,mushrooms,quartered
300 g short pasta shapes,300,g,short pasta shapes,
1x 500 g carton Neapolitan sauce,1x,500 g carton,Neapolitan sauce,
4 sprigs thyme,4,sprigs,thyme,
2 tbsp water,2,tbsp,water,
"500 g lean fillet or leg of lamb, cubed",500,g,lean fillet or leg of lamb,cubed
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
"2 red peppers, deseeded and cut into bite-sized chunks",2,,red peppers,deseeded and cut into bite-sized chunks
"0.5 small pineapple, peeled cored and cut into 4cm chunks",0.5,small,pineapple,peeled  cored and cut into 4cm chunks
110 g red lentils,110,g,red lentils,
1 tsp ground cumin,1,tsp,ground cumin,
1 tsp tumeric,1,tsp,tumeric,
"3 cloves garlic, finely sliced",3,cloves,garlic,finely sliced
handful pistachios,,handful,pistachios,
1 tbsp tomato purée,1,tbsp,tomato purée,
1 tsp lemon juice,1,tsp,lemon juice,
1 tbsp garam marsala,1,tbsp,garam marsala,
3 tbsp freshly chopped coriander,3,tbsp,freshly chopped coriander,
sea salt flakes and freshly ground black pepper,,,sea salt flakes and freshly ground black pepper,
1 tsp fast action dried yeast,1,tsp,fast action dried yeast,
200 g bag baby spinach,200,g,bag baby spinach,
"110 g cooked ham, chopped",110,g,cooked ham,chopped
2 cups chopped ham,2,cups,chopped ham,
"2 large carrots, cut into chunks",2,large,carrots,cut into chunks
1 tbsp olive oil,1,tbsp,olive oil,
"grated Parmesan, to serve",,,grated Parmesan,to serve
flaked sea salt and black pepper,,,flaked sea salt and black pepper,
"0.5 tsp chilli flakes, or crumble one dried chilli into pieces",0.5,tsp,chilli flakes,or crumble one dried chilli into pieces
"1 egg, beaten",1,,egg,beaten
"40 g Parmesan, finely grated (about 0.5 cup) plus more for serving",40,g,Parmesan,finely grated (about 0.5 cup)  plus more for serving
250 g spinach leaves,250,g,spinach leaves,
1 heaped tbsp honey,1,heaped tbsp,honey,
400 g long grain rice,400,g,long grain rice,
1.5 mugs rice,1.5,mugs,rice,
0.25 tsp salt,0.25,tsp,salt,
"100 g Tenderstem broccoli, halved if large",100,g,Tenderstem broccoli,halved if large
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
1 cup all-purpose flour,1,cup,all-purpose flour,
1 tbsp olive oil,1,tbsp,olive oil,
"120 g good-quality tinned tuna in oil, drained",120,g,good-quality tinned tuna in oil,drained
"2 limes, halved, to serve",2,,"limes, halved",to serve
"small bunch parsley, finely chopped",,small bunch,parsley,finely chopped
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
20 black olives,20,,black olives,
2 tbsp mild Tennessee chow chow (optional),2,tbsp,mild Tennessee chow chow (optional),
2 tbsp olive oil,2,tbsp,olive oil,
140 g cubetti di pancetta (or smoked bacon lardons),140,g,cubetti di pancetta (or smoked bacon lardons),
0.5 tsp turmeric,0.5,tsp,turmeric,
60 g mayonnaise or Greek yogurt,60,g,mayonnaise or Greek yogurt,
"2 tbsp plain flour, seasoned",2,tbsp,plain flour,seasoned
"1 can chickpeas, rinsed and drained",1,can,chickpeas,rinsed and drained
"5 spring onions/scallions, roughly chopped",5,,spring onions/scallions,roughly chopped
1 tsp ground turmeric,1,tsp,ground turmeric,
"1 egg, whisked",1,,egg,whisked
"1x 250 g pack pomodorino or baby plum tomatoes, halved",1x,250 g pack,pomodorino or baby plum tomatoes,halved
"500 g lamb neck fillets, cut into bite-size pieces",500,g,lamb neck fillets,cut into bite-size pieces
"0.25 cucumber, cut in half seeds removed and sliced thinly",0.25,,cucumber,cut in half  seeds removed and sliced thinly
"2 boneless chicken breasts, skin on",2,,boneless chicken breasts,skin on
"0.5 red pepper, cut into 1 cm chunks",0.5,,red pepper,cut into 1 cm chunks
2 tbsp chopped herbs,2,tbsp,chopped herbs,
2 tbsp plain flour,2,tbsp,plain flour,
1 long red chilli,1,,long red chilli,
"3 mixed peppers, deseeded and sliced",3,,mixed peppers,deseeded and sliced
"3 chicken breasts, cut into small pieces",3,,chicken breasts,cut into small pieces
2 cups vegetable broth,2,cups,vegetable broth,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
4 generous tbsp soured cream,4,generous tbsp,soured cream,
2 tsp jerk seasoning,2,tsp,jerk seasoning,
1 tbsp korma curry paste,1,tbsp,korma curry paste,
150 g 0% fat Greek yogurt,150,g,0% fat Greek yogurt,
"2 pak choi, finely sliced",2,,pak choi,finely sliced
0.75 cup extra-virgin olive oil,0.75,cup,extra-virgin olive oil,
75 ml red wine (optional),75,ml,red wine (optional),
4 sweet potatoes,4,,sweet potatoes,
"150 g frozen peas, defrosted",150,g,frozen peas,defrosted
"1x 250 g pack shiitake or chestnut mushroom, thickly sliced",1x,250 g pack,shiitake or chestnut mushroom,thickly sliced
25 g pistachio nuts,25,g,pistachio nuts,
1x 340 g pack mini chicken breast fillets,1x,340 g pack,mini chicken breast fillets,
"1 medium cos lettuce, sliced",1,medium,cos lettuce,sliced
200 g light brown soft sugar,200,g,light brown soft sugar,
"2 cloves garlic, unpeeled",2,cloves,garlic,unpeeled
50 g pomegranate seeds,50,g,pomegranate seeds,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
1 tsp dried oregano,1,tsp,dried oregano,
"1 large carrot, grated",1,large,carrot,grated
0.5 tsp garlic powder,0.5,tsp,garlic powder,
"1x 20 g packet of flat leaf parsley, stalks and leaves finely chopped",1x,20 g packet,of flat leaf parsley,stalks and leaves finely chopped
"2x 400 g cans black beans, drained and rinsed",2x,400 g cans,black beans,drained and rinsed
8 raw king prawns,8,,raw king prawns,
"500 g tomatoes, chopped",500,g,tomatoes,chopped
"2in piece ginger root, grated",2in,piece,ginger root,grated
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"1x 400 g tin Puy or green lentils, drained and rinsed",1x,400 g tin,Puy or green lentils,drained and rinsed
0.5 tsp red-pepper flakes,0.5,tsp,red-pepper flakes,
1x 400 g tin kidney beans,1x,400 g tin,kidney beans,
1 large sweet potato,1,large,sweet potato,
"1 head broccoli, cut into medium florets stalk sliced",1,head,broccoli,cut into medium florets  stalk sliced
1 beaten egg,1,,beaten egg,
"100 g pecans, roughly chopped",100,g,pecans,roughly chopped
1 tbsp freshly grated lime zest,1,tbsp,freshly grated lime zest,
0.5 granary baguette,0.5,,granary baguette,
"1 clove garlic, chopped finely",1,clove,garlic,chopped finely
0.5 lamb stock cube,0.5,,lamb stock cube,
1 heaped tsp cornflour,1,heaped tsp,cornflour,
1-2 tsp ras el hanout,1-2,tsp,ras el hanout,
2 leeks,2,,leeks,
"25 g grated hard cheese, such as cheddar Parmesan or veggie alternative",25,g,grated hard cheese,such as cheddar  Parmesan or veggie alternative
"2 yellow peppers, deseeded and sliced",2,,yellow peppers,deseeded and sliced
1 tsp garlic paste,1,tsp,garlic paste,
2 tbsp olive oil,2,tbsp,olive oil,
"spring onions, chopped",,,spring onions,chopped
200 ml red wine,200,ml,red wine,
25 g butter,25,g,butter,
"2 cloves garlic, minced",2,cloves,garlic,minced
1 pinch crushed red pepper,1,pinch,crushed red pepper,
"350 g smoked cod or haddock, skinned and cut into chunks",350,g,smoked cod or haddock,skinned and cut into chunks
"2 large skinless chicken breasts, halved through the middle",2,large,skinless chicken breasts,halved through the middle
2x 400 g tin butter beans - don't drain!,2x,400 g tin,butter beans - don't drain!,
"1 large onion, chopped",1,large,onion,chopped
1-2 tbsp chipotle paste,1-2,tbsp,chipotle paste,
2 tbsp olive oil,2,tbsp,olive oil,
"1 onion, finely chopped",1,,onion,finely chopped
"1 avacado, peeled and cut into chunks",1,,avacado,peeled and cut into chunks
"1 pack fajita spice mix, check that your chosen fajita mix is gluten free if required",1,pack,fajita spice mix,check that your chosen fajita mix is gluten free if required
1 tbsp olive oil,1,tbsp,olive oil,
1x 300 g can crushed tomatoes,1x,300 g can,crushed tomatoes,
350 g white long grain rice,350,g,white long grain rice,
"1 red chilli, deseeded and finely chopped",1,,red chilli,deseeded and finely chopped
"950 g sweet potatoes, peeled and cut into chunks",950,g,sweet potatoes,peeled and cut into chunks
1x 400 g tin tomato soup,1x,400 g tin,tomato soup,
"1 red pepper, deseeded and roughly diced",1,,red pepper,deseeded and roughly diced
"Olives, capers, peperoncini, pickles, or other pickled-briny ingredients, for serving",,,"Olives, capers, peperoncini, pickles, or other pickled-briny ingredients",for serving
"2 medium red onions, very thinly sliced",2,medium,red onions,very thinly sliced
1 tbsp fennel seeds,1,tbsp,fennel seeds,
1 tbsp chopped thyme,1,tbsp,chopped thyme,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
2 mugs frozen peas,2,mugs,frozen peas,
1 tbsp oil,1,tbsp,oil,
2 tsp freshly cracked black pepper,2,tsp,freshly cracked black pepper,
salt and black pepper,,,salt and black pepper,
slaw,,,slaw,
"0.5x 30 g pack basil, torn",0.5x,30 g pack,basil, torn
75 g plain flour,75,g,plain flour,
0.5 tsp ground cardamom,0.5,tsp,ground cardamom,
1 tsp garlic-chilli paste,1,tsp,garlic-chilli paste,
225 g plain flour,225,g,plain flour,
"0.5x 30 g pack coriander, chopped",0.5x,30 g pack,coriander,chopped
1 tsp mustard,1,tsp,mustard,
"800 g tinned flageolet beans, drained and rinsed",800,g,tinned flageolet beans,drained and rinsed
"5 medium potatoes, cut into 2 cm dice",5,medium,potatoes,cut into 2 cm dice
"2 lamb steaks, approx 140 g each or 4 lamb chops trimmed of excess fat",2,,lamb steaks,approx 140 g each  or 4 lamb chops trimmed of excess fat
salt and ground black pepper,,,salt and ground black pepper,
4 tbsp barbecue or hoisin sauce,4,tbsp,barbecue or hoisin sauce,
"4 cloves garlic, crushed",4,cloves,garlic,crushed
"2 cm piece root ginger, peeled and grated",2,cm,piece root ginger,peeled and grated
2 orange peppers,2,,orange peppers,
"300 g cherry tomatoes, halved",300,g,cherry tomatoes,halved
0.5 tsp chilli flakes,0.5,tsp,chilli flakes,
1.5 tbsp Jamaican jerk paste,1.5,tbsp,Jamaican jerk paste,
1 cup heavy cream,1,cup,heavy cream,
"2 sticks celery, finely chopped",2,sticks,celery,finely chopped
3 bay leaves,3,,bay leaves,
600 ml water,600,ml,water,
2 tbsp tomato puree,2,tbsp,tomato puree,
500 g beef mince,500,g,beef mince,
4 tbsp rice vinegar,4,tbsp,rice vinegar,
250 ml reduced fat coconut milk,250,ml,reduced fat coconut milk,
salt and black pepper,,,salt and black pepper,
finely grated rind of 1 lemon,,,finely grated rind of 1 lemon,
"20 g coriander leaves, finely chopped",20,g,coriander leaves,finely chopped
200 g mangetout,200,g,mangetout,
2 tsp caster sugar,2,tsp,caster sugar,
"325 g cooked chicken, shredded",325,g,cooked chicken,shredded
1.5 mug risotto rice,1.5,mug,risotto rice,
4 pork loin steaks (480 g pack),4,,pork loin steaks (480 g pack),
"7.5 cm piece of fresh root ginger, peeled and finely grated",7.5,cm piece,of fresh root ginger,peeled and finely grated
"3 roasted red peppers (from a jar), roughly chopped",3,,roasted red peppers (from a jar),roughly chopped
"175 g skinless boneless chicken breast, cut into 1.5 cm cubes",175,g,skinless boneless chicken breast,cut into 1.5 cm cubes
"450 g bag frozen mixed seafood, thawed",450,g,bag frozen mixed seafood,thawed
"small pack parsley, chopped",,small pack,parsley,chopped
1x 400 g pack herby sausages,1x,400 g pack,herby sausages,
teriyaki sauce,,,teriyaki sauce,
455 g lean ground pork,455,g,lean ground pork,
"3 parsnips, cut into chunks",3,,parsnips,cut into chunks
1 tsp Dijon mustard,1,tsp,Dijon mustard,
1 carrot,1,,carrot,
35 g drained canned or frozen sweetcorn,35,g,drained canned or frozen sweetcorn,
0.5 tsp ground coriander seed,0.5,tsp,ground coriander seed,
1 handful of pomegranate seeds,1,handful,of pomegranate seeds,
1 tbsp rice vinegar,1,tbsp,rice vinegar,
1.5 tbsp chopped rosemary,1.5,tbsp,chopped rosemary,
1x 400 g tin tomatoes,1x,400 g tin,tomatoes,
"1 tsp parsley (fresh, dried or frozen)",1,tsp,"parsley (fresh, dried or frozen)",
2 tbsp cornflour,2,tbsp,cornflour,
4 tbsp caster sugar,4,tbsp,caster sugar,
"2 large cloves garlic, crushed",2,large cloves,garlic,crushed
"1x 400 g can kidney beans, in water",1x,400 g can,kidney beans,in water
400 g good quality tinned tomatoes,400,g,good quality tinned tomatoes,
1 tsp smoked paprika,1,tsp,smoked paprika,
"6 cloves garlic, finely chopped (not crushed)",6,cloves,garlic,finely chopped (not crushed)
"1 tbsp fresh oregano, chopped, or 1 tablespoon dried",1,tbsp,fresh oregano,"chopped, or 1 tablespoon  dried"
4 tbsp dry sherry,4,tbsp,dry sherry,
"small pack coriander, roughly chopped",,small pack,coriander,roughly chopped
"1 large egg, beaten",1,large,egg,beaten
1 tsp fresh lime juice,1,tsp,fresh lime juice,
2 tbsp grain mustard,2,tbsp,grain mustard,
1 tbsp tomato paste,1,tbsp,tomato paste,
1x 400 g pack Toulouse-inspired sausages,1x,400 g pack,Toulouse-inspired sausages,
1 tsp freshly grated ginger,1,tsp,freshly grated ginger,
50 g couscous,50,g,couscous,
8 chicken pieces (a mixture of thighs and drumsticks,8,,chicken pieces (a mixture of thighs and drumsticks,
1 tbsp smoky chipotle paste,1,tbsp,smoky chipotle paste,
1x 80 g pack smoked cubetti pancetta,1x,80 g pack,smoked cubetti pancetta,
4 tsp olive oil,4,tsp,olive oil,
2 tsp chipotle paste,2,tsp,chipotle paste,
4 chicken breasts,4,,chicken breasts,
"1 hot red chilli, deseeded and thinly sliced",1,,hot red chilli,deseeded and thinly sliced
1 tbsp chopped mint,1,tbsp,chopped mint,
"500 g new potatoes, halved",500,g,new potatoes,halved
4 spring onions,4,,spring onions,
olive oil,,,olive oil,
"140 g mature cheddar cheese, grated",140,g,mature cheddar cheese,grated
"vegetables or salad, to serve (optional)",,,vegetables or salad,to serve (optional)
200 ml chicken stock,200,ml,chicken stock,
"5 cloves garlic, minced",5,cloves,garlic,minced
0.5-1 tsp toasted sesame seeds,0.5-1,tsp,toasted sesame seeds,
"2 tbsp neutral oil, like canola or grapeseed, plus more as needed",2,tbsp,neutral oil,"like canola or grapeseed, plus more as needed"
"plain rice, to serve",,,plain rice,to serve
4 eggs,4,,eggs,
"1 bunch spring onions, sliced diagonally",1,bunch,spring onions,sliced diagonally
"500 g lean pork fillet, trimmed of any fat and sliced",500,g,lean pork fillet,trimmed of any fat and sliced
colour strands decorations,,,colour strands decorations,
2 tablespoons finely chopped dill,2,tablespoons,finely chopped dill,
"1 red chilli, sliced and deseeded if you wish",1,,red chilli,sliced and deseeded if you wish
1.5 l vegetable stock,1.5,l,vegetable stock,
0.5 cups (additional) all-purpose flour,0.5,cups,(additional) all-purpose flour,
4 rounds mustard and tarragon butter,4,rounds,mustard and tarragon butter,
