input,quantity,unit,item,comment
"1-2 jalapeno peppers, minced, plus slices to garnish",1-2,,jalapeno peppers,"minced, plus slices to garnish"
"6 oz colby jack cheese, cubed",6,oz,colby jack cheese,cubed
"4 slices bacon, cooked and crumbled",4,slices,bacon,cooked and crumbled
"fresh cilantro leaves, to garnish",,,fresh cilantro leaves,to garnish
0.5 cup mayonnaise,0.5,cup,mayonnaise,
"2 chipotle chiles from a can of chipotle chiles in adobo sauce, finely minced to a paste, or to taste",2,,chipotle chiles from a can of chipotle chiles in adobo sauce,"finely minced to a paste, or to taste"
"3 cloves garlic, minced",3,cloves,garlic,minced
0.25 cup chopped fresh cilantro,0.25,cup,chopped fresh cilantro,
0.25 cup chopped fresh dill,0.25,cup,chopped fresh dill,
juice of 1 lime,,,juice of 1 lime,
"kosher salt and black pepper, to taste",,,kosher salt and black pepper,to taste
0.5 cup buttermilk,0.5,cup,buttermilk,
2 tbsp oil,2,tbsp,oil,
"2 onions, sliced",2,,onions,sliced
"2 cloves garlic, chopped",2,cloves,garlic,chopped
0.5 tsp turmeric,0.5,tsp,turmeric,
1 tsp paprika,1,tsp,paprika,
2 tsp ras el hanout,2,tsp,ras el hanout,
"2 sweet potatoes, peeled and cut into chunks",2,,sweet potatoes,peeled and cut into chunks
"3 parsnips, cut into chunks",3,,parsnips,cut into chunks
"3 carrots, cut into chunks",3,,carrots,cut into chunks
"2 preserved lemons, chopped",2,,preserved lemons,chopped
200 g pearl barley,200,g,pearl barley,
1 l vegetable stock,1,l,vegetable stock,
"1 small pack parsley, leaves picked",1,small pack,parsley,leaves picked
"1 small pack mint, leaves picked",1,small pack,mint,leaves picked
"150 g green olives, chopped",150,g,green olives,chopped
"0.5 lemon, juiced",0.5,,lemon,juiced
"pomegranate seeds, to serve",,,pomegranate seeds,to serve
2 tbsp vegetable or olive oil,2,tbsp,vegetable or olive oil,
"1 red onion, chopped",1,,red onion,chopped
1 tsp cumin seed,1,tsp,cumin seed,
1 tsp mustard seeds (any colour),1,tsp,mustard seeds (any colour),
1 tbsp medium curry powder,1,tbsp,medium curry powder,
"100 g red or green lentils, or a mixture",100,g,red or green lentils,or a mixture
"2 medium sweet potatoes, peeled and cut into chunks",2,medium,sweet potatoes,peeled and cut into chunks
500 ml vegetable stock,500,ml,vegetable stock,
1x 400 g can chopped tomato,1x,400 g can,chopped tomato,
"1x 400 g can chickpea, drained",1x,400 g can,chickpea,drained
0.25 small pack coriander (optional),0.25,small pack,coriander (optional),
"natural yogurt and naan bread, to serve",,,natural yogurt and naan bread,to serve
30 ml olive oil,30,ml,olive oil,
"1 small onion, finely chopped",1,small,onion,finely chopped
"1 large clove garlic, crushed",1,large clove,garlic,crushed
"8 slices pancetta and rindless streaky bacon, cut into 1 cm pieces",8,slices,pancetta and rindless streaky bacon,cut into 1 cm pieces
350 g dried spaghetti,350,g,dried spaghetti,
4 eggs,4,,eggs,
120 ml creme fraiche,120,ml,creme fraiche,
4 tbsp grated Parmesan cheese,4,tbsp,grated Parmesan cheese,
salt and ground black pepper,,,salt and ground black pepper,
1 tbsp sesame oil (optional),1,tbsp,sesame oil (optional),
3 tbsp honey,3,tbsp,honey,
4 tbsp soy sauce,4,tbsp,soy sauce,
4 tbsp rice vinegar,4,tbsp,rice vinegar,
"3-4 cloves garlic, pressed",3-4,cloves,garlic,pressed
"0.5 inch cube ginger, grated",0.5,inch cube,ginger,grated
"500 g salmon, skinned, de-boned",500,g,salmon,"skinned, de-boned"
"3 tbsp olive oil, plus a little extra to serve",3,tbsp,olive oil,plus a little extra to serve
"3 cloves garlic, finely sliced",3,cloves,garlic,finely sliced
"1 large red onion, finely chopped (160 g)",1,large,red onion,finely chopped (160 g)
0.5 tbsp picked thyme leaves,0.5,tbsp,picked thyme leaves,
"2 small aubergines, cut into chunks, about 5 x 2 cm (420 g)",2,small,aubergines,"cut into chunks, about 5 x 2 cm (420 g)"
200 g cherry tomatoes,200,g,cherry tomatoes,
180 g Puy lentils,180,g,Puy lentils,
500 ml vegetable stock,500,ml,vegetable stock,
80 ml dry white wine,80,ml,dry white wine,
100 g crème fraîche,100,g,crème fraîche,
1 tsp Urfa chilli flakes (or 0.5 tsp regular chilli flakes),1,tsp,Urfa chilli flakes (or 0.5 tsp regular chilli flakes),
2 tsp picked oregano leaves,2,tsp,picked oregano leaves,
salt and black pepper,,,salt and black pepper,
"1 tbsp olive oil, plus a drizzle",1,tbsp,olive oil,plus a drizzle
"1 onion, chopped",1,,onion,chopped
"3 cloves garlic, crushed",3,cloves,garlic,crushed
200 g risotto rice,200,g,risotto rice,
1 litre vegetable stock,1,litre,vegetable stock,
300 g frozen peas,300,g,frozen peas,
"25 g Italian-style hard cheese, grated",25,g,Italian-style hard cheese,grated
juice and zest 1 lemon,,,juice and zest 1 lemon,
"2 slices leftover bread, a few days old is best",2,slices,leftover bread,a few days old is best
"2 frozen red chillies, or pinch of chilli flakes",2,,frozen red chillies,or pinch of chilli flakes
"0.5 small bunch mint, chopped",0.5,small bunch,mint,chopped
"1 medium courgette, cut into small chunks",1,medium,courgette,cut into small chunks
"1 medium carrot, cut into small chunks",1,medium,carrot,cut into small chunks
"1 medium red onion, cut into wedges",1,medium,red onion,cut into wedges
"85 g mushroom, quartered",85,g,mushroom,quartered
handful cherry tomatoes (about 8),,handful,cherry tomatoes (about 8),
"2 clove garlic, peeled",2,clove,garlic,peeled
1 tbsp olive oil,1,tbsp,olive oil,
0.5 tsp paprika,0.5,tsp,paprika,
0.5 tsp dried chilli flakes,0.5,tsp,dried chilli flakes,
"2 bone-in chicken thighs, skin on",2,,bone-in chicken thighs,skin on
50 g couscous,50,g,couscous,
"0.5 small pack parsley or mint, roughly chopped",0.5,small pack,parsley or mint,roughly chopped
drizzle sweet chilli sauce (optional),,,drizzle sweet chilli sauce (optional),
"spring onions, chopped",,,spring onions,chopped
"thumb-sized piece ginger, chopped",,thumb-sized piece,ginger,chopped
3 cloves garlic,3,cloves,garlic,
"1 red chilli, deseeded",1,,red chilli,deseeded
freshly chopped coriander,,,freshly chopped coriander,
1 tbsp thyme leaf,1,tbsp,thyme leaf,
zest and juice 1 lime,,,zest and juice 1 lime,
1 lime cut into wedges to serve,1,,lime cut into wedges to serve,
1.5 tsp ground allspice,1.5,tsp,ground allspice,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
8 chicken drumsticks,8,,chicken drumsticks,
300 g long grain rice,300,g,long grain rice,
"1x 400 g can kidney beans, rinsed and drained",1x,400 g can,kidney beans,rinsed and drained
500 ml chicken stock,500,ml,chicken stock,
"1 ripe mango, peeled stoned and cut into bite-sized chunks",1,,ripe mango,peeled  stoned and cut into bite-sized chunks
"200 g mango chutney, plus extra to serve (optional)",200,g,mango chutney,plus extra to serve (optional)
1 tsp vegetable or sunflower oil,1,tsp,vegetable or sunflower oil,
1 tbsp Thai red curry paste,1,tbsp,Thai red curry paste,
"1 onion, sliced",1,,onion,sliced
250 ml reduced fat coconut milk,250,ml,reduced fat coconut milk,
"2x 250 g skinless salmon fillets, cut into chunks",2x,250 g,skinless salmon fillets,cut into chunks
200 g trimmed green beans,200,g,trimmed green beans,
"plain rice, to serve",,,plain rice,to serve
2 tbsp olive or rapeseed oil,2,tbsp,olive or rapeseed oil,
"4 cloves garlic, finely choppped",4,cloves,garlic,finely choppped
"2 large onions, chopped",2,large,onions,chopped
3 tbsp sweet pimenton or mild chilli powder,3,tbsp,sweet pimenton or mild chilli powder,
3 tbsp ground cumin,3,tbsp,ground cumin,
3 tbsp cider vinegar,3,tbsp,cider vinegar,
2 tbsp brown sugar,2,tbsp,brown sugar,
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
"2x 400 g cans black beans, drained and rinsed",2x,400 g cans,black beans,drained and rinsed
"boiled long grain rice, plus some of the following toppings: crumbled feta, chopped spring onions, sliced radishes, avocado chunks",,,boiled long grain rice,"plus some of the following toppings: crumbled feta, chopped spring onions, sliced radishes, avocado chunks"
"1.4 kg russet potatoes, scrubbed and pierced all over with a fork",1.4,kg,russet potatoes,scrubbed and pierced all over with a fork
"3 large egg yolks, lightly beaten",3,large,egg yolks,lightly beaten
"130 g all-purpose flour , divided, plus more as needed and for dusting",130,g,all-purpose flour ,"divided, plus more as needed and for dusting"
"1.5 tsp Diamond Crystal kosher salt, for table salt use half as much by volume or the same weight",1.5,tsp,Diamond Crystal kosher salt,for table salt use half as much by volume or the same weight
3 tbsp extra-virgin olive oil,3,tbsp,extra-virgin olive oil,
"1 medium clove garlic, lightly crushed",1,medium clove,garlic,lightly crushed
700 ml jar tomato passata,700,ml,jar tomato passata,
2 sprigs fresh basil,2,sprigs,fresh basil,
Kosher salt,,,Kosher salt,
"450 g fresh cow's milk mozzarella, cut or torn into 1-inch pieces, patted dry",450,g,fresh cow's milk mozzarella,"cut or torn into 1-inch pieces, patted dry"
"Finely grated Parmigiano-Reggiano cheese, for sprinkling",,,Finely grated Parmigiano-Reggiano cheese,for sprinkling
"Fresh basil leaves, for garnishing",,,Fresh basil leaves,for garnishing
"1.5 cups full-fat Greek yogurt, labneh or sour cream",1.5,cups,full-fat Greek yogurt,labneh or sour cream
0.25 cup finely chopped chives,0.25,cup,finely chopped chives,
0.25 cup finely chopped parsley,0.25,cup,finely chopped parsley,
2 tablespoons finely chopped dill,2,tablespoons,finely chopped dill,
2 tbsp fresh lemon juice,2,tbsp,fresh lemon juice,
"1 small garlic clove, finely grated or chopped",1,small,garlic clove,finely grated or chopped
Kosher salt and freshly ground pepper,,,Kosher salt and freshly ground pepper,
"1.5 lbs boneless, skinless chicken breasts",1.5,lbs,"boneless, skinless chicken breasts",
Kosher salt and freshly ground pepper,,,Kosher salt and freshly ground pepper,
1 cup all-purpose flour,1,cup,all-purpose flour,
2 teaspoons smoked paprika,2,teaspoons,smoked paprika,
"2 large eggs, beaten to blend",2,large,eggs,beaten to blend
2 cups bread crumbs (preferably panko or other coarse bread crumbs),2,cups,bread crumbs (preferably panko or other coarse bread crumbs),
3 tbsp olive oil,3,tbsp,olive oil,
1x 240 g pack salmon fillets,1x,240 g pack,salmon fillets,
300 g dried fusilli,300,g,dried fusilli,
2 tbsp extra-virgin olive oil,2,tbsp,extra-virgin olive oil,
"1 small onion, finely chopped",1,small,onion,finely chopped
"3 large cloves garlic, finely chopped",3,large cloves,garlic,finely chopped
"600 g fresh tomatoes, deseeded and roughly chopped",600,g,fresh tomatoes,deseeded and roughly chopped
"50 g pitted green olives in brine, sliced",50,g,pitted green olives in brine,sliced
"1x 30 g pack flat-leaf parsley, finely chopped",1x,30 g pack,flat-leaf parsley,finely chopped
30 g fresh white breadcrumbs,30,g,fresh white breadcrumbs,
"30 g Italian-style hard cheese or Parmesan, finely grated",30,g,Italian-style hard cheese or Parmesan,finely grated
"1 large head of broccoli (600-700 g), cut into florets stalk peeled and chopped into 0.5"" pieces",1,large head,of broccoli (600-700 g),"cut into florets  stalk peeled and chopped into 0.5"" pieces"
kosher salt,,,kosher salt,
"2 tbsp extra-virgin olive oil, plus more for drizzling",2,tbsp,extra-virgin olive oil,plus more for drizzling
"4 cloves garlic, smashed",4,cloves,garlic,smashed
"12 oz fresh Italian sausage (about 3 links), casings removed",12,oz,fresh Italian sausage (about 3 links),casings removed
crushed red pepper flakes,,,crushed red pepper flakes,
340 g orecchiette,340,g,orecchiette,
"3 tbsp unsalted butter, cut into pieces",3,tbsp,unsalted butter,cut into pieces
"40 g Parmesan, finely grated (about 0.5 cup) plus more for serving",40,g,Parmesan,finely grated (about 0.5 cup)  plus more for serving
"2 cod fillets, about 175 g each",2,,cod fillets,about 175 g each
"2 tbsp plain flour, seasoned",2,tbsp,plain flour,seasoned
25 g butter,25,g,butter,
juice 1 lemon,,,juice 1 lemon,
1 heaped tbsp chopped parsley leaves,1,heaped tbsp,chopped parsley leaves,
"new potatoes and greens, to serve",,,new potatoes and greens,to serve
1.33333 cups pearl couscous,1.33333,cups,pearl couscous,
2 quarts water,2,quarts,water,
Salt to taste,,,Salt to taste,
2 tbsp extra-virgin olive oil,2,tbsp,extra-virgin olive oil,
"2 cloves garlic, minced or pureed",2,cloves,garlic,minced or pureed
"1 lb cherry tomatoes, the sweetest you can find, cut in half",1,lb,cherry tomatoes,"the sweetest you can find, cut in half"
0.25 tsp sugar,0.25,tsp,sugar,
1 sprig basil,1,sprig,basil,
"2 tbsp, or more, slivered basil leaves",2,,tbsp,"or more, slivered basil leaves"
1 onion,1,,onion,
1 carrot,1,,carrot,
100 g chestnut mushrooms,100,g,chestnut mushrooms,
2 cloves garlic,2,cloves,garlic,
6 Linda McCartney sausages,6,,Linda McCartney sausages,
1 can cannellini beans,1,can,cannellini beans,
1 pot wild mushroom sauce,1,,pot wild mushroom sauce,
tomato puree,,,tomato puree,
dried thyme,,,dried thyme,
fresh flat leaf parsley,,,fresh flat leaf parsley,
25 g panko breadcrumbs,25,g,panko breadcrumbs,
"1 kg sweet potatoes, cubed",1,kg,sweet potatoes,cubed
"2 tsp ras el hanout, or a mix of ground cinnamon and cumin",2,tsp,ras el hanout,or a mix of ground cinnamon and cumin
4 skinless boneless chicken breasts,4,,skinless boneless chicken breasts,
2 tbsp olive oil,2,tbsp,olive oil,
"1 onion, thinly sliced",1,,onion,thinly sliced
"1 fat clove garlic, crushed",1,,fat clove garlic,crushed
200 ml chicken stock,200,ml,chicken stock,
2 tsp clear honey,2,tsp,clear honey,
juice &frac12; lemon,,,juice &frac12; lemon,
"handful green olives, pitted or whole",,handful,green olives,pitted or whole
"1x 20 g pack coriander, leaves chopped",1x,20 g pack,coriander,leaves chopped
2 peppers,2,,peppers,
bag of sweet peppers,,,bag of sweet peppers,
red chilli,,,red chilli,
red wine vinegar,,,red wine vinegar,
oregano,,,oregano,
1 red onion,1,,red onion,
1 lemon,1,,lemon,
garlic,,,garlic,
4 chicken breasts,4,,chicken breasts,
bunch coriander,,bunch,coriander,
smoked paprika,,,smoked paprika,
500 g tagliatelle,500,g,tagliatelle,
"1.5 lbs hot and/or sweet Italian sausage, casings removed",1.5,lbs,hot and/or sweet Italian sausage,casings removed
"8 tbsps olive oil, divided",8,tbsps,olive oil,divided
"1 fennel bulb, core removed, thinly sliced",1,,"fennel bulb, core removed",thinly sliced
"1 large onion, chopped",1,large,onion,chopped
"10 cloves garlic, thinly sliced divided",10,cloves,garlic,thinly sliced  divided
"Kosher salt, freshly ground pepper",,,"Kosher salt, freshly ground pepper",
1 28 oz can whole peeled tomatoes,1,28 oz can,whole peeled tomatoes,
1 cup (unpacked) basil leaves,1,cup (unpacked),basil leaves,
"4 soft hoagie rolls, split lengthwise down tops",4,,soft hoagie rolls,split lengthwise down tops
"4 oz fresh mozzarella, sliced",4,oz,fresh mozzarella,sliced
"3 chicken breasts, cut into strips",3,,chicken breasts,cut into strips
1 tbsp mild curry paste,1,tbsp,mild curry paste,
juice of lemon,,,juice of lemon,
1 tbsp olive oil,1,tbsp,olive oil,
1 tbsp olive oil,1,tbsp,olive oil,
150 ml natural yoghurt,150,ml,natural yoghurt,
1 tbsp mango chutney,1,tbsp,mango chutney,
100 g watercress,100,g,watercress,
"0.5 cucumber, cut into thing strips",0.5,,cucumber,cut into thing strips
"6 spring onions, sliced",6,,spring onions,sliced
"1 medium cos lettuce, sliced",1,medium,cos lettuce,sliced
"1 ripe mango, peeled and cut into slices",1,,ripe mango,peeled and cut into slices
2x 400 g packs butternut squash slices (or prepare your own),2x,400 g packs,butternut squash slices (or prepare your own),
"3 medium parsnips, peeled and cut into wedges, or 200 g baby parsnips scrubbed",3,medium,parsnips,"peeled and cut into wedges, or 200 g baby parsnips  scrubbed"
"2 red onions, each cut into 6 wedges",2,,red onions,each cut into 6 wedges
"3 cloves garlic, crushed",3,cloves,garlic,crushed
2 tbsp chopped rosemary,2,tbsp,chopped rosemary,
4 tbsp olive oil,4,tbsp,olive oil,
"0.5 tsp chilli flakes, optional",0.5,tsp,chilli flakes,optional
4 skin-on chicken breasts,4,,skin-on chicken breasts,
160 g smoked bacon lardons,160,g,smoked bacon lardons,
2 tbsp maple syrup,2,tbsp,maple syrup,
2 tbsp grain mustard,2,tbsp,grain mustard,
juice of &frac12; lemon,,,juice of &frac12; lemon,
150 g shredded kale,150,g,shredded kale,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
"2 onions, thinly sliced",2,,onions,thinly sliced
2 heaped tbsp curry paste,2,heaped tbsp,curry paste,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
8 eggs,8,,eggs,
140 g frozen peas,140,g,frozen peas,
4 tbsp Greek yogurt,4,tbsp,Greek yogurt,
"rice and mango chutney, to serve",,,rice and mango chutney,to serve
175 g plain flour,175,g,plain flour,
"100 g cold butter, cut into small cubes",100,g,cold butter,cut into small cubes
25 g icing sugar,25,g,icing sugar,
1 free-range egg yolk,1,,free-range egg yolk,
1 tbsp cold water,1,tbsp,cold water,
5 free-range eggs,5,,free-range eggs,
125 ml double cream,125,ml,double cream,
225 g caster sugar,225,g,caster sugar,
"4 lemons, juice and zest",4,,lemons,juice and zest
"icing sugar, for dusting",,,icing sugar,for dusting
"5 medium potatoes, peeled and cut into 2 cm cubes",5,medium,potatoes,peeled and cut into 2 cm cubes
25 g butter,25,g,butter,
2 tbsp double cream,2,tbsp,double cream,
25 g butter,25,g,butter,
1 tbsp olive oil,1,tbsp,olive oil,
"2 red onions, sliced",2,,red onions,sliced
"1 sprig fresh rosemary leaves, chopped",1,sprig,fresh rosemary leaves,chopped
6 tbsp balsamic vinegar,6,tbsp,balsamic vinegar,
2 tbsp runny honey,2,tbsp,runny honey,
0.5 mug water,0.5,mug,water,
1 chicken stock cube,1,,chicken stock cube,
1 tbsp olive oil,1,tbsp,olive oil,
4 chicken breasts,4,,chicken breasts,
sprouting broccoli,,,sprouting broccoli,
85 ml olive oil,85,ml,olive oil,
"1 large onion, thinly sliced (250 g)",1,large,onion,thinly sliced (250 g)
"12 large eggs, lightly whisked",12,large,eggs,lightly whisked
100 ml whole milk,100,ml,whole milk,
4.5 tbsp rose harissa (80 g),4.5,tbsp,rose harissa (80 g),
2 tsp nigella seeds,2,tsp,nigella seeds,
"15 g coriander, roughly chopped",15,g,coriander,roughly chopped
"110 g Manchego, coarsely grated",110,g,Manchego,coarsely grated
"2 limes, halved, to serve",2,,"limes, halved",to serve
salt and black pepper,,,salt and black pepper,
1 tbsp olive oil,1,tbsp,olive oil,
"1 onion, sliced",1,,onion,sliced
"4 medium carrots, diced",4,medium,carrots,diced
500 g minced lamb,500,g,minced lamb,
2 tbsp plain flour,2,tbsp,plain flour,
2 mugs water,2,mugs,water,
1 lamb stock cube,1,,lamb stock cube,
2 tbsp freshly chopped mint,2,tbsp,freshly chopped mint,
1 tsp xanthan gum,1,tsp,xanthan gum,
0.5 tsp salt,0.5,tsp,salt,
"175 g butter, measure using packet",175,g,butter,measure using packet
0.333 mug cold water,0.333,mug,cold water,
1 egg,1,,egg,
360 g plain flour,360,g,plain flour,
green veg,,,green veg,
6 medium potatoes,6,medium,potatoes,
3-4 tbsp olive oil,3-4,tbsp,olive oil,
"1 onion, roughly chopped",1,,onion,roughly chopped
"4 cloves garlic, roughly chopped",4,cloves,garlic,roughly chopped
1 tsp cumin seeds,1,tsp,cumin seeds,
1 tsp coriander seeds,1,tsp,coriander seeds,
1 tsp dried mint,1,tsp,dried mint,
"thumb-sized piece fresh ginger, peeled and finely chopped or grated",,thumb-sized piece,fresh ginger, peeled and finely chopped or grated
"750 g lean lamb, cut into bite-sized pieces",750,g,lean lamb,cut into bite-sized pieces
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
"2 small courgettes, sliced thickly on the diagonal",2,small,courgettes,sliced thickly on the diagonal
"1 red or green (bell) pepper, deseeded and cut into thick strips",1,,red or green (bell) pepper,deseeded and cut into thick strips
"4 tomatoes, skinned, deseeded and cut into chunks",4,,tomatoes,"skinned, deseeded and cut into chunks"
"small bunch fresh flat-leaf parsley, roughly chopped",,small bunch,fresh flat-leaf parsley,roughly chopped
"small bunch fresh mint leaves, roughly chopped",,small bunch,fresh mint leaves,roughly chopped
"1 lemon, cut into quarters, to serve",1,,lemon,"cut into quarters, to serve"
250 g chorizo ring,250,g,chorizo ring,
dried chilli flakes,,,dried chilli flakes,
165 g raw king prawns,165,g,raw king prawns,
1 clove garlic,1,clove,garlic,
500 g passata,500,g,passata,
500 g dried linguine,500,g,dried linguine,
fresh basil,,,fresh basil,
olive oil,,,olive oil,
salt and pepper,,,salt and pepper,
1 tbsp oil,1,tbsp,oil,
"1 large aubergine, cut into 1 inch dice",1,large,aubergine,cut into 1 inch dice
"2 carrots, sliced",2,,carrots,sliced
"0.25 white cabbage, thinly sliced",0.25,,white cabbage,thinly sliced
400 g good quality tinned tomatoes,400,g,good quality tinned tomatoes,
500 ml vegetable stock,500,ml,vegetable stock,
"1x 400 g tin kidney beans, drained",1x,400 g tin,kidney beans,drained
1 tbsp smoked paprika,1,tbsp,smoked paprika,
70 g uncooked pasta,70,g,uncooked pasta,
black pepper,,,black pepper,
"sour cream, crusty bread, to serve (optional)",,,"sour cream, crusty bread",to serve (optional)
"2x 1"" cube butter",2x,"1"" cube",butter,
"1 medium onion, cut into wedges",1,medium,onion,cut into wedges
4 boneless chicken thighs,4,,boneless chicken thighs,
4 tbsp korma curry paste,4,tbsp,korma curry paste,
1 tsp turmeric or 1 pinch saffron,1,tsp,turmeric or 1 pinch saffron,
1 mug rice,1,mug,rice,
0.5 chicken stock cube,0.5,,chicken stock cube,
1 mug yoghurt,1,mug,yoghurt,
0.5 mug raisins,0.5,mug,raisins,
2 mugs water,2,mugs,water,
"0.25 mug toasted, flaked almonds",0.25,mug,"toasted, flaked almonds",
1 tbsp freshly chopped coriander leaves,1,tbsp,freshly chopped coriander leaves,
2 naan breads,2,,naan breads,
1x 250 g jar roasted mixed peppers with herbs,1x,250 g jar,roasted mixed peppers with herbs,
"250 g new potatoes, thickly sliced",250,g,new potatoes,thickly sliced
"1 red onion, cut into wedges",1,,red onion,cut into wedges
"140 g green beans, trimmed and halved widthways",140,g,green beans,trimmed and halved widthways
"2x 175 g chunky cod fillets, skin on",2x,175 g,chunky cod fillets,skin on
0.5 lemon,0.5,,lemon,
"crusty bread, to serve",,,crusty bread,to serve
2 tsp rapeseed oil,2,tsp,rapeseed oil,
"1 large onion, finely chopped",1,large,onion,finely chopped
"1 red pepper, cut into chunks",1,,red pepper,cut into chunks
"2 cloves garlic, chopped",2,cloves,garlic,chopped
2 tsp mild chilli powder,2,tsp,mild chilli powder,
1 tsp ground coriander,1,tsp,ground coriander,
