input,name,quantity,unit,preparation,comment
"¼ cup mild, light-colored honey, such as clover or wildflower",mild light-colored honey,0.25,cup,,such as clover or wildflower
"Parmesan shavings, to garnish",Parmesan shavings,,,,to garnish
"1 fresh hot green chile, seeded and minced (optional)",fresh hot green chile,1,,seeded and minced ,(optional)
1/2 ounce fresh cake yeast or 1 package active dry yeast,fresh cake yeast,0.5,ounce,,or 1 package active dry yeast
1/2 cup mild soft goat cheese,mild soft goat cheese,0.5,cup,,
"1(3½-pound) monkfish tail, on the bone (have your fish dealer remove the skin and membrane)",monkfish tail,1 3.5, pound,,() on the bone (have your fish dealer remove the skin and membrane)
"4 carrots, scrubbed and coarsely chopped",carrots,4,,scrubbed and coarsely chopped,
½ teaspoon toasted sesame oil,toasted sesame oil,0.5,teaspoon,,
8 1/3 cups water,water,8.333,cup,,
3 tablespoons toasted chickpea flour (besan) or all-purpose flour,toasted chickpea flour (besan) or all-purpose flour,3,tablespoon,,
"1 lb (500 g) small new potatoes, about 10 new potatoes (see Notes)",small new potatoes,1 500,lb g,,() about 10 new potatoes (see Notes)
2/3 cup unhulled sesame seeds,unhulled sesame seeds,0.667,cup,,
1 tablespoon sunflower oil,sunflower oil,1,tablespoon,,
"2 green onions, sliced diagonally into ¼-inch pieces",green onions,2,,sliced diagonally into 0.25-inch piece,
"½ cup plus 1 pinch sugar, divided",sugar,0.5,cup,divided,plus 1 pinch
¼ cup chopped dates,dates,0.25,cup,chopped ,
2½ cups milk,milk,2.5,cup,,
Handful of baby spinach,baby spinach,,handful,,of
"1 small jalapeño (or ¼ habanero), seeded and minced",jalapeño,1,small,seeded and minced,(or 0.25 habanero)
½ cup (112 g) margarine,margarine,0.5 112,cup g,,()
"¾ cup strong brewed coffee, cooled",coffee,0.75,cup,"strong brewed, cooled",
"1 to 2 fresh hot green chiles, minced",fresh hot green chiles,1-2,,minced,
"1 large jalapeno chile, finely diced",jalapeno chile,1,large,finely diced,
¼ teaspoon chipotle chile powder (optional),chipotle chile powder,0.25,teaspoon,,(optional)
"60% bittersweet chocolate pistoles, 1½ cups",bittersweet chocolate pistoles,1.5,cup,,60% 
"8 to 10 ounces fresh spinach, well washed and stemmed",fresh spinach,8-10,ounce,well washed and stemmed,
6 to 8 cups coconut milk,coconut milk,6-8,cup,,
"1 tsp caraway or cumin seeds, crushed",caraway or cumin seeds,1,tsp,crushed,
1 tablespoon chopped fresh parsley leaves,fresh parsley leaves,1,tablespoon,chopped,
"1 tablespoon sherry vinegar, preferably aged",sherry vinegar,1,tablespoon,,preferably aged
"2 shallots or green onions (white part only), chopped",shallots or green onions,2,,chopped,(white part only)
¼ tsp dry or prepared mustard,dry or prepared mustard,0.25,tsp,,
Lime marmalade (recipe follows),Lime marmalade,,,,(recipe follows)
"One 15-ounce can diced tomatoes, with liquid",tomatoes,1 15,can ounce,diced,with liquid
1/8 teaspoon coarsely crumbled saffron threads,saffron threads,0.125,teaspoon,coarsely crumbled ,
"1½ tbsp nonpareil capers, drained and rinsed",nonpareil capers,1.5,tbsp,drained and rinsed,
½ cup strong coffee,strong coffee,0.5,cup,,
½ cup plus 1 teaspoon shoyu (soy sauce),shoyu,0.5,cup,,(soy sauce) plus 1 teaspoon
2 medium shallots,shallots,2,medium,,
Juice of ½ lime,lime,0.5,,,Juice of
Generous pinch of freshly ground black pepper,freshly ground black pepper,,Generous pinch ,,of
8 ounces (225 g) vegetables or chile peppers,vegetables or chile peppers,8 225,ounce g,,()
"¼ cup grated Romano cheese, plus more to pass at the table",Romano cheese,0.25,cup,grated,plus more to pass at the table
¼ teaspoon salt,salt,0.25,teaspoon,,
6 cloves unpeeled garlic,garlic,6,clove,unpeeled ,
"One 14-ounce can peeled tomatoes, drained and coarsely chopped",peeled tomatoes,1 14,can ounce,drained and coarsely chopped,
Two 14.5 oz (411g) cans chopped tomatoes,tomatoes,2 14.5 411,can oz g,chopped ,()
½ tablespoon chili powder,chili powder,0.5,tablespoon,,
"2 tsp sesame seeds, lightly toasted",sesame seeds,2,tsp,lightly toasted,
Grana padano or other aged cheese,Grana padano or other aged cheese,,,,
140ml/5fl oz double cream (heavy cream),double cream (heavy cream),140 5,ml fl oz,,/
1/3 cup lightly packed finely chopped fresh dill,fresh dill,0.333,cup,finely chopped ,lightly packed
"Fresh tarragon, chives, or parsley, for garnish (optional)","Fresh tarragon, chives, or parsley",,,,for garnish (optional)
"1 spaghetti squash, about 3 pounds",spaghetti squash,1 3, pound,,about
"1 large stalk celery, including leaves, finely chopped",celery,1,large stalk,finely chopped,including leaf
¾ teaspoon dried parsley,dried parsley,0.75,teaspoon,,
"3 teaspoons minced garlic, divided",garlic,3,teaspoon,"minced, divided",
3 cups chicken broth,chicken broth,3,cup,,
Pinch of crushed dried red pepper flakes,dried red pepper flakes,,pinch,crushed ,of
"1 walnut-size ball dried tamarind pulp, or 1 teaspoon tamarind paste or concentrate",dried tamarind pulp,1,walnut-size ball ,,or 1 teaspoon tamarind paste or concentrate
1 tablespoon dried basil,dried basil,1,tablespoon,,
2 teaspoons extra virgin olive oil or melted butter for garnish,extra virgin olive oil or melted butter,2,teaspoon,,for garnish
"4 shallots, peeled and quartered",shallots,4,,peeled and quartered,
"3 small red-ripe tomatoes, diced",red-ripe tomatoes,3,small,diced,
"2 kaffir lime leaves, cut into wafer-thin slices, or grated",kaffir lime leaves,2,,"cut into wafer-thin slice, or grated",
¾ cup (175 mL) extra virgin olive oil,extra virgin olive oil,0.75 175,cup mL,,() 
"1 small sweet yellow pepper, cored, seeded, and diced",sweet yellow pepper,1,small,"cored, seeded, and diced",
"8 ounces chorizo, chopped",chorizo,8,ounce,chopped,
"Watercress, for garnish",Watercress,,,,for garnish
"¾ teaspoon salt, or more to taste",salt,0.75,teaspoon,,or more to taste
1 pound lump crabmeat (see Note),lump crabmeat,1,pound,,(see Note)
4 cups (600 g) peeled sliced nectarines (4 to 6 nectarines),nectarines,4 600,cup g,peeled sliced,"(), (4-6 nectarines)"
½ cup chopped scallion,scallion,0.5,cup,chopped ,
½ cup finely shredded carrots,carrots,0.5,cup,finely shredded ,
¾ cup (scant) all purpose flour,all purpose flour,0.75,cup,,(scant) 
1/2 cup cooked shrimp,shrimp,0.5,cup,cooked ,
½ cup buttermilk,buttermilk,0.5,cup,,
4 fl oz (125 ml) golden syrup,golden syrup,4 125,fl oz  ml,,() 
"3 tablespoons coarsely chopped fresh cilantro roots, or stems and leaves",fresh cilantro roots or stems and leaves,3,tablespoon,coarsely chopped,
"1 pound russet potatoes (whole, scrubbed)",russet potatoes,1,pound,scrubbed,(whole)
"8 ounces (225 g) bacon or ham, cut into small pieces",bacon or ham,8 225,ounce g,cut into small piece,()
4 cups ripped basil leaves,basil leaves,4,cup,ripped ,
"2-3 green Thai, serrano, or cayenne chiles, stems removed, halved","green Thai serrano, or cayenne chiles",2-3,,"stem removed, halved",
"4 shallots, minced (about ¼ cup)",shallots,4 0.25, cup,minced ,(about)
"1 to 1½ cups fruit, cut or sliced into small pieces and lightly sugared",fruit,1-1.5,cup,cut or sliced into small piece and lightly sugared,
Vegetable shortening for greasing the pan,Vegetable shortening,,,,for greasing the pan
1 tsp hot pepper flakes 5 mL,hot pepper flakes ,1 5,tsp mL,,
¼ cup plus 2 tablespoons heavy cream,heavy cream,0.25,cup,,plus 2 tablespoon 
1 tablespoon fresh chopped basil or 1 teaspoon dried basil,fresh basil,1,tablespoon,chopped ,or 1 teaspoon dried basil
½ cup pumpkin seeds,pumpkin seeds,0.5,cup,,
1 cup coarsely chopped sweet onion,sweet onion,1,cup,coarsely chopped ,
"1 large yellow onion, cut into ½-inch dice (about 2 cups)",yellow onion,1 2,large cup,cut into 0.5-inch dice ,(about)
4 good knobs of butter,butter,4,good knob,,of
"2 celery ribs, strings removed, chopped",celery,2,rib,"strings removed, chopped",
1 tbsp (15 mL) grated ginger root,ginger root,1 15,tbsp mL,grated,()
"2 large, black-ripe plantains, peeled and cut into ½-inch cubes",black-ripe plantains,2,large,peeled and cut into 0.5-inch cube,
1/3 cup brewed coffee,brewed coffee,0.333,cup,,
2 cups (500 ml) red lentils,red lentils,2 500,cup ml,,()
½ teaspoon cayenne powder,cayenne powder,0.5,teaspoon,,
1 tbsp (15 ml) chopped fresh sage,fresh sage,1 15,tbsp ml,chopped,()
2 28-ounce cans crushed Italian plum tomatoes,crushed Italian plum tomatoes,2 28,can ounce,,
"½ head garlic, roasted (see Notes)",garlic,0.5,head,roasted ,(see Notes)
"1 butternut squash (about 2 lbs/1 kg), peeled and cut into 1-inch (2/5 cm) cubes",butternut squash,1 2 1, lb kg,peeled and cut into 1-inch (0.4 cm) cube,(about /)
16 large firm ripe figs,firm ripe figs,16,large,,
¼ cup raw honey,raw honey,0.25,cup,,
2 tablespoons distilled white vinegar,distilled white vinegar,2,tablespoon,,
"3 large garlic cloves, finely chopped or grated (about 1 teaspoon)",garlic,3,large clove,finely chopped or grated ,(about 1 teaspoon)
"8 ounces cheddar cheese, finely shredded",cheddar cheese,8,ounce,finely shredded,
2 cups (475 ml) heavy cream,heavy cream,2 475,cup ml,,()
"½ cup chopped fresh dill, or more to taste",fresh dill,0.5,cup,chopped ,or more to taste
1 tablespoon instant freeze-dried espresso or coffee,instant freeze-dried espresso or coffee,1,tablespoon,,
½ cup ice cubes,ice cubes,0.5,cup,,
½ pound ground beef,ground beef,0.5,pound,,
½ cup white sugar,white sugar,0.5,cup,,
"1 medium zucchini, cut on a slight bias, ¾-inch thick",zucchini,1,medium,"cut on a slight bias, 0.75-inch thick",
8 tbsp strawberry ice cream topping,strawberry ice cream topping,8,tbsp,,
"2 tablespoons parsley, chopped",parsley,2,tablespoon,chopped,
1 tablespoon chopped fresh ginger root,fresh ginger root,1,tablespoon,chopped ,
"4 oz (115g) shiitake mushrooms, sliced",shiitake mushrooms,4 115,oz g,sliced,()
8 egg yolks,egg yolks,8,,,
¼ cup chopped fresh Italian (flat-leaf) parsley,fresh Italian (flat-leaf) parsley,0.25,cup,chopped ,
½ cup very soft unsalted butter,very soft unsalted butter,0.5,cup,,
"200g/7oz bread, preferably stale, for making breadcrumbs",bread,200 7,g oz,,"/, preferably stale, for making breadcrumbs"
"1 cup brown rice, rinsed (250 mL)",brown rice,1 250,cup mL,rinsed,()
"1 tablespoon sesame seeds, toasted (see Notes)",sesame seeds,1,tablespoon,toasted ,(see Notes)
¾ cup warm (about 105°F) water,water,0.75,cup,warm ,(about 105°F) 
"4 medium scallions, trimmed and thinly sliced across",scallions,4,medium,trimmed and thinly sliced across,
1 tbsp (15 mL) cayenne pepper,cayenne pepper,1 15,tbsp mL,,()
1 1/3 cups (4 ounces/113 grams) finely shredded Unsweetened dried coconut,Unsweetened dried coconut,1.333 4 113,cup ounce gram,finely shredded ,(/)
2 tablespoons fresh thyme leaves,fresh thyme leaves,2,tablespoon,,
3 large ripe plum tomatoes,ripe plum tomatoes,3,large,,
4 or 5 cloves garlic,garlic,4-5,clove,,
1-2 tablespoons local honey,local honey,1-2,tablespoon,,
1 tsp (5 mL) lightly packed grated orange zest,orange zest,1 5,tsp mL,grated ,() lightly packed
"Seasoned salt, salt and pepper to taste","Seasoned salt, salt and pepper",,,,to taste
12 slices of French (baguette)bread,French (baguette) bread,12,slice,,of
"1 cup broccoli flowerettes and stems, thinly sliced",broccoli flowerettes and stems,1,cup,thinly sliced,
"1 onion, peeled",onion,1,,peeled,
¾ cup plus 2 tbsp all purpose flour,all purpose flour,0.75,cup,,plus 2 tbsp 
Grated Parmesan cheese or caciocavallo cheese,Parmesan cheese or caciocavallo cheese,,,Grated,
1 tablespoon Szechuan pepper (optional),Szechuan pepper,1,tablespoon,,(optional)
"4 ounces dried apricots (about 20), sliced, or 1 cup fresh apricots, (about 4), pitted and diced",dried apricots,4 20,ounce,sliced,"(about), or 1 cup fresh apricots, (about 4), pitted and diced"
2 tsp (10 ml) vegetable oil,vegetable oil,2 10,tsp ml,,()
About 1 tablespoon lime zest,lime zest,1,tablespoon,,about
1/8 teaspoons white pepper,white pepper,0.125,teaspoon,,
6-inch branch tarragon,tarragon,6 6,branch inch,,
"1 red bell pepper, cut into twelve 1-inch squares",red bell pepper,1,,cut into twelve 1-inch square,
1/3 cup reduced sodium soy sauce,reduced sodium soy sauce,0.333,cup,,
"1 pound Fresh Egg Pasta cut as fettucini, or dried orecchiette or tubetti",Fresh Egg Pasta cut as fettucini or dried orecchiette or tubetti,1,pound,,
1 1/3 cups (10 ounces) granulated cane sugar,granulated cane sugar,1.333 10,cup ounce,,()
Heaped ½ cup (135 ml) roughly chopped pecans,pecans,0.5 135,Heaped cup ml,roughly chopped ,()
Nutmeg,Nutmeg,,,,
"1 cup dried brown lentils, picked over and rinsed",dried brown lentils,1,cup,picked over and rinsed,
Cilantro sprigs (optional),Cilantro,,sprig,,(optional)
15 spinach and/or plain lasagne noodles,spinach and/or plain lasagne noodles,15,,,
"5 large eggs, separated, at room temperature",eggs,5,large,"separated, at room temperature",
2 tablespoons molasses,molasses,2,tablespoon,,
Pinch of freshly ground pepper,freshly ground pepper,,pinch,,of
½ teaspoon finely minced garlic,garlic,0.5,teaspoon,finely minced ,
"8 oil-packed anchovy fillets, minced",oil-packed anchovy fillets,8,,minced,
1 cup warm milk (105° to 115°F),milk,1,cup,warm ,(105° to 115°F)
"4 cups (1 l) frozen lima beans, thawed and drained",frozen lima beans,4 1,cup l,thawed and drained,()
1 fresh jalapeno,fresh jalapeno,1,,,
1 to 3 tablespoons Japanese soy sauce (Shoyu or Tamari),Japanese soy sauce,1-3,tablespoon,,(Shoyu or Tamari)
1 large vanilla bean,vanilla bean,1,large,,
3 generous tablespoons Lyles Golden Syrup or light corn syrup,Lyles Golden Syrup or light corn syrup,3,generous tablespoon,,
"1/2 cup (1 stick) cold butter, cut into 1-inch pieces",butter,0.5 1,cup stick,"cold, cut into 1-inch piece",()
1 cup (8 ounces) cold water,water,1 8,cup ounce,cold ,()
1 cup (firmly packed)/7.6 ounces/217 grams light brown sugar,light brown sugar,1 7.6 217,cup ounce gram,,(firmly packed)//
8 tablespoons Nutella or other hazelnut-chocolate spread,Nutella or other hazelnut-chocolate spread,8,tablespoon,,
2 tbsp (25 mL) finely chopped garlic,garlic,2 25,tbsp mL,finely chopped ,()
1/3 cup unsalted peanut butter,unsalted peanut butter,0.333,cup,,
"2 tsp (10 mL) minced peeled ginger root, optional",ginger root,2 10,tsp mL,minced peeled,"(), optional"
"1 whole Roma tomato, chopped",whole Roma tomato,1,,chopped,
"2/3 cup brown sugar, plus 2 tablespoons for topping",brown sugar,0.667,cup,,plus 2 tablespoon for topping
"4 tbsp butter, melted",butter,4,tbsp,melted,
2 teaspoons rice vinegar,rice vinegar,2,teaspoon,,
"1 large baking potato, such as Idaho or russet, peeled and diced",baking potato,1,large,peeled and diced,such as Idaho or russet
Tabasco or other hot sauce to taste,Tabasco or other hot sauce,,,,to taste
"2 cups boiling water, plus 4 cups additional water",boiling water,2,cup,,plus 4 cup additional water
"3 medium zucchini, julienned on a mandoline",zucchini,3,medium,julienned on a mandoline,
2 tsp. sugar,sugar,2,tsp,,
8 ounces creme fraiche,creme fraiche,8,ounce,,
1 tablespoon red wine or balsamic vinegar,red wine or balsamic vinegar,1,tablespoon,,
2 cups whole or low-fat milk,whole or low-fat milk,2,cup,,
"11 oz radishes, trimmed and sliced",radishes,11,oz,trimmed and sliced,
"1 jalapeño chile or any medium-sized green chile, deseeded and chopped to give a tablespoon",jalapeño chile or any medium-sized green chile,1,,deseeded and chopped to give a tablespoon,
"1½ cups fresh unsalted butter, never frozen, at room temperature but not overly soft",fresh unsalted butter,1.5,cup,at room temperature but not overly soft,never frozen
½ cup chopped red bell pepper,red bell pepper,0.5,cup,chopped ,
2 ounces (60 ML) rye (see Notes),rye,2 60,ounce ML,,() (see Notes)
2 tablespoons plus 1 teaspoon unsalted butter,unsalted butter,2,tablespoon,,plus 1 teaspoon 
1 pound elbow macaroni or cavatappi pasta,elbow macaroni or cavatappi pasta,1,pound,,
8 sea scallops,sea scallops,8,,,
"¾ cup olive oil, as needed",olive oil,0.75,cup,,as needed
2 tablespoons honey,honey,2,tablespoon,,
"1 pound sliced white bread, chopped in a food processor",white bread,1,pound,"sliced, chopped in a food processor",
10 large servings of young turkey or large chickens,young turkey or large chickens,10,large servings,,of
